시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,시설주소,위도,경도
성북구립 상월곡실버복지센터,A0495,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김경회,1129000000,성북구,서울특별시 성북구 화랑로18길 6 (상월곡동),37.60585405,127.0482336
서초구립양재노인종합복지관,A0724,(노인) 노인복지관,노인여가복지시설,자치구,전경아 ,1165000000,서초구,서울특별시 서초구 강남대로30길 73-7양재노인종합복지관 (양재동),37.48302001,127.040816
강서구립봉제산노인복지센터,A0922,(노인) 노인복지관(소규모),노인여가복지시설,자치구,서순애,1150000000,강서구,서울특별시 강서구 초록마을로15길 12,37.54152282,126.8514079
시립중랑노인종합복지관,A1022,(노인) 노인복지관,노인여가복지시설,자치구,조희정,1126000000,중랑구,서울특별시 중랑구 겸재로9길 45(면목동),37.58843496,127.0778419
강남구립강남노인종합복지관,A1165,(노인) 노인복지관,노인여가복지시설,자치구,고영한,1168000000,강남구,서울특별시 강남구 삼성로 628강남노인종합복지관 (삼성동),37.51591066,127.0521426
강북노인종합복지관,A1174,(노인) 노인복지관,노인여가복지시설,자치구,김민숙,1130500000,강북구,서울특별시 강북구 삼양로92길 40-0강북노인종합복지관(수유동),37.63568682,127.0187526
북가좌2동노인복지센터,A1599,(노인) 노인복지관(소규모),노인여가복지시설,자치구,손남식,1141000000,서대문구,서울특별시 서대문구 증가로20길 43북가좌2동노인복지센터,37.58120413,126.9179051
양천어르신종합복지관,A1732,(노인) 노인복지관,노인여가복지시설,자치구,한승호,1147000000,양천구,서울특별시 양천구 목동로3길 106서울특별시 양천구 목동로3길106 (신정동),37.51044253,126.8586279
연희노인여가복지시설,A1756,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김태경,1141000000,서대문구,서울특별시 서대문구 홍제천로2길 111연희노인여가복지시설,37.57224104,126.9235398
시립은평노인종합복지관,A2077,(노인) 노인복지관,노인여가복지시설,자치구,김승자,1138000000,은평구,서울특별시 은평구 연서로 415,37.63225081,126.9299824
도봉동어르신복지관,A2149,(노인) 노인복지관(소규모),노인여가복지시설,자치구,박미혜,1132000000,도봉구,서울특별시 도봉구 도봉로 169가길 52,37.68212785,127.0435807
구립역촌노인복지관,A2224,(노인) 노인복지관(소규모),노인여가복지시설,자치구,차화석,1138000000,은평구,서울특별시 은평구 연서로3나길 11-30역촌노인복지관,37.60334272,126.9113711
구립갈현노인복지관,A2247,(노인) 노인복지관(소규모),노인여가복지시설,자치구,손진호,1138000000,은평구,서울특별시 은평구 통일로89길 12-6갈현노인복지관,37.62488746,126.9186706
약수노인복지관,A2255,(노인) 노인복지관,노인여가복지시설,자치구,민진암,1114000000,중구,서울특별시 중구 다산로6길 11신당동,37.55247063,127.0093304
송파노인종합복지관,A2315,(노인) 노인복지관,노인여가복지시설,자치구,이경수,1171000000,송파구,서울특별시 송파구 백제고분로32길 41,37.49866846,127.0948956
동작노인종합복지관,A2509,(노인) 노인복지관,노인여가복지시설,자치구,김익환,1159000000,동작구,서울특별시 동작구 상도로11길 7(대방동),37.50039046,126.9291097
성북구립 장위실버복지센터,A2723,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김주홍,1129000000,성북구,서울특별시 성북구 한천로 7083층 (장위동)(장위동),37.62008856,127.053514
구립중화경로복지관,A2732,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김형기,1126000000,중랑구,서울특별시 중랑구 동일로138길 28 (중화동),37.60330431,127.0811539
시립성북노인종합복지관,A2733,(노인) 노인복지관,노인여가복지시설,자치구,송향숙,1129000000,성북구,서울특별시 성북구 종암로15길 10(종암동),37.59779025,127.0344101
시립노원노인종합복지관,A2739,(노인) 노인복지관,노인여가복지시설,자치구,박지은,1135000000,노원구,서울특별시 노원구 노원로16길 15호(하계동),37.64344507,127.0733372
시립용산노인종합복지관,A2758,(노인) 노인복지관,노인여가복지시설,자치구,이성희,1117000000,용산구,서울특별시 용산구 독서당로11길16 (한남동),37.53133868,127.006498
서울시립강서노인종합복지관,A2771,(노인) 노인복지관,노인여가복지시설,자치구,임무영,1150000000,강서구,서울특별시 강서구 화곡로61길 85서울특별시 강서구 화곡로61길  85,37.5581232,126.8475516
관악노인종합복지관,A2776,(노인) 노인복지관,노인여가복지시설,자치구,이석영,1162000000,관악구,서울특별시 관악구 보라매로 35(봉천동),37.49304069,126.9263301
서울노인복지센터,A2947,(노인) 노인복지관,노인여가복지시설,자치구,김경미,1111000000,종로구,서울특별시 종로구 삼일대로 467(경운동),37.57596579,126.9858533
서대문노인종합복지관,A2955,(노인) 노인복지관,노인여가복지시설,자치구,탁우상,1141000000,서대문구,서울특별시 서대문구 독립문로8길 57(천연동),37.56800449,126.9591178
창동어르신복지관,A2991,(노인) 노인복지관(소규모),노인여가복지시설,자치구,박미연,1132000000,도봉구,서울특별시 도봉구 덕릉로60차길 6-0,37.6367115,127.0413886
구립신내노인종합복지관,A3015,(노인) 노인복지관,노인여가복지시설,자치구,김종범,1126000000,중랑구,서울특별시 중랑구 신내로15길 175(신내동),37.61481251,127.0878892
쌍문동어르신복지관,A3085,(노인) 노인복지관(소규모),노인여가복지시설,자치구,박미정,1132000000,도봉구,서울특별시 도봉구 우이천로 363,37.64825635,127.0238027
서울시립동대문노인종합복지관,A3206,(노인) 노인복지관,노인여가복지시설,자치구,민경원,1123000000,동대문구,서울특별시 동대문구 제기로33길 25-0(청량리동),37.58724711,127.0500267
방학동어르신복지관,A3812,(노인) 노인복지관(소규모),노인여가복지시설,자치구,박현우,1132000000,도봉구,서울특별시 도봉구 시루봉로 15라길 59-9 (방학동),37.67057374,127.0322022
종로노인종합복지관,A3971,(노인) 노인복지관,노인여가복지시설,자치구,정영순,1111000000,종로구,서울특별시 종로구 율곡로19길 17-8(이화동),37.57666791,127.0060206
성동노인종합복지관,A4002,(노인) 노인복지관,노인여가복지시설,자치구,김광수,1120000000,성동구,서울특별시 성동구 마조로 77 (마장동),37.56478466,127.0412399
구립영등포노인종합복지관,A4035,(노인) 노인복지관,노인여가복지시설,자치구,박영숙,1156000000,영등포구,서울특별시 영등포구 도림로 482,37.51685634,126.8905415
청파노인복지센터,A4195,(노인) 노인복지관(소규모),노인여가복지시설,자치구,임은정,1117000000,용산구,서울특별시 용산구 청파로83길 26서계동 (서계동),37.55200626,126.9676967
역삼노인복지센터,A4790,(노인) 노인복지관(소규모),노인여가복지시설,자치구,오지영,1168000000,강남구,서울특별시 강남구 도곡로27길 27,37.49453769,127.0418317
서초구립중앙노인종합복지관,A4947,(노인) 노인복지관,노인여가복지시설,자치구,박준기,1165000000,서초구,서울특별시 서초구 서초대로54길 45,37.49232427,127.016811
강동구립해공노인복지관,A5818,(노인) 노인복지관(소규모),노인여가복지시설,자치구,이상엽,1174000000,강동구,서울특별시 강동구 천중로17길 42-16강동구립해공노인복지관 (천호동),37.54620984,127.1317143
구립신사노인복지관,A5842,(노인) 노인복지관(소규모),노인여가복지시설,자치구,이선자,1138000000,은평구,서울특별시 은평구 증산로15길 47신사노인복지관,37.59025708,126.9080583
도봉노인종합복지관,A5899,(노인) 노인복지관,노인여가복지시설,자치구,이은주,1132000000,도봉구,서울특별시 도봉구 도당로2길 12-13,37.65892811,127.0359567
성가정노인종합복지관,A6010,(노인) 노인복지관,노인여가복지시설,자치구,최은영,1174000000,강동구,서울특별시 강동구 양재대로156길 28,37.55610733,127.1465259
아현실버복지관,A6055,(노인) 노인복지관(소규모),노인여가복지시설,자치구,오명숙,1144000000,마포구,서울특별시 마포구 환일길 3 (아현동),37.55746063,126.9603136
금천노인종합복지관,A6079,(노인) 노인복지관,노인여가복지시설,자치구,구자훈,1154500000,금천구,서울특별시 금천구 시흥대로51길 93-32,37.45013432,126.8977638
마포노인종합복지관,A6080,(노인) 노인복지관,노인여가복지시설,자치구,김윤태,1144000000,마포구,서울특별시 마포구 서강로 68(창전동),37.5489226,126.9322146
광진노인종합복지관,A6226,(노인) 노인복지관,노인여가복지시설,자치구,최광식,1121500000,광진구,서울특별시 광진구 군자로 88(군자동),37.55109825,127.0715961
강남구립대치노인복지센터,A6327,(노인) 노인복지관(소규모),노인여가복지시설,자치구,이양희,1168000000,강남구,서울특별시 강남구 역삼로69길 22,37.50304252,127.0541301
강남구립강남시니어플라자,A6449,(노인) 노인복지관,노인여가복지시설,자치구,박명환,1168000000,강남구,서울특별시 강남구 봉은사로 332강남시니어플라자,37.50978716,127.0432183
금천호암노인종합복지관,A6518,(노인) 노인복지관,노인여가복지시설,자치구,조영표,1154500000,금천구,서울특별시 금천구 독산로72길 86-5,37.46951291,126.9064492
우리마포복지관,A6622,(노인) 노인복지관,노인여가복지시설,자치구,박소현,1144000000,마포구,서울특별시 마포구 신촌로26길 10-0(45층),37.55585099,126.9423726
송파실벗뜨락,A7031,(노인) 노인복지관(소규모),노인여가복지시설,자치구,이정희,1171000000,송파구,서울특별시 송파구 백제고분로42길 556층,37.50592943,127.1097315
온수어르신복지관,A7039,(노인) 노인복지관(소규모),노인여가복지시설,자치구,엄영수,1153000000,구로구,서울특별시 구로구 부일로9길 111-0온수어르신복지관 3층,37.49668964,126.8232623
공릉어르신복지센터,A7040,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김민경,1135000000,노원구,서울특별시 노원구 공릉로 129공릉동,37.62170318,127.0789561
강서구립곰달래어르신복지센터,A7046,(노인) 노인복지관(소규모),노인여가복지시설,자치구,조중현,1150000000,강서구,서울특별시 강서구 강서로5길 50 (화곡동),37.52905997,126.8488982
구로노인종합복지관,A7146,(노인) 노인복지관,노인여가복지시설,자치구,임성희,1153000000,구로구,서울특별시 구로구 새말로16길 7(구로동),37.50524075,126.8906167
왕십리도선동노인복지센터,A7296,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김남용,1120000000,성동구,서울특별시 성동구 마장로141 (상왕십리동),37.56787474,127.0255294
서울특별시립강동노인종합복지관,A7577,(노인) 노인복지관,노인여가복지시설,자치구,성미선,1174000000,강동구,서울특별시 강동구 동남로71길 32-5(명일동),37.55221118,127.1546206
송파복지센터,A7727,(노인) 노인복지관(소규모),노인여가복지시설,자치구,박왕호,1171000000,송파구,서울특별시 송파구 충민로 184,37.48578447,127.1341609
구립응암노인복지관,A7958,(노인) 노인복지관(소규모),노인여가복지시설,자치구,최은영,1138000000,은평구,서울특별시 은평구 응암로21가길 5-1,37.59458155,126.9167731
강남구립논현노인종합복지관,A8780,(노인) 노인복지관,노인여가복지시설,자치구,박종원,1168000000,강남구,서울특별시 강남구 강남대로128길 59,37.51206542,127.026089
구립불광노인복지관,A9358,(노인) 노인복지관(소규모),노인여가복지시설,자치구,윤남선,1138000000,은평구,서울특별시 은평구 연서로32길 17-11,37.6194805,126.9248633
강서구립화곡노인복지센터,A9619,(노인) 노인복지관(소규모),노인여가복지시설,자치구,이재민,1150000000,강서구,서울특별시 강서구 월정로30길 963층~5층,37.53546801,126.8410987
강서구립연지노인복지센터,A9646,(노인) 노인복지관(소규모),노인여가복지시설,자치구,이재민,1150000000,강서구,서울특별시 강서구 화곡로58길 30-7,37.55241466,126.8526628
청구노인복지센터(분관),F00249,(노인) 노인복지관(소규모),노인여가복지시설,자치구,민진암,1114000000,중구,서울특별시 중구 청구로3길 69 (신당동),37.5565594,127.0143317
금천한내어르신복지센터,F03847,(노인) 노인복지관(소규모),노인여가복지시설,자치구,조영표,1154500000,금천구,서울특별시 금천구 한내로 69-15 (독산동 주공13단지아파트),37.45738742,126.8865505
반석노인교실,F03957,(노인) 노인교실,노인여가복지시설,자치구,주영자,1154500000,금천구,서울특별시 금천구 독산로78길 20 (독산동),37.46930437,126.9035915
성가정시니어아카데미,F03958,(노인) 노인교실,노인여가복지시설,자치구,공일연,1154500000,금천구,서울특별시 금천구 두산로5길 19독산1동성당 (독산동),37.47145265,126.8898864
시흥노인교실,F03959,(노인) 노인교실,노인여가복지시설,자치구,이옥자,1154500000,금천구,서울특별시 금천구 금하로23다길 8 (시흥동),37.45244454,126.9091615
신일노인교실,F03960,(노인) 노인교실,노인여가복지시설,자치구,최월선,1154500000,금천구,서울특별시 금천구 시흥대로90길 25신일교회 (독산동),37.46181455,126.8992905
제일노인교실,F03961,(노인) 노인교실,노인여가복지시설,자치구,강환준,1154500000,금천구,서울특별시 금천구 탑골로2길 56제일교회 (시흥동),37.4504401,126.9131787
행복시니어아카데미,F03962,(노인) 노인교실,노인여가복지시설,자치구,이계철,1154500000,금천구,서울특별시 금천구 독산로38길 10시흥4동성당 (시흥동),37.4593504,126.9058768
금천어르신복지센터,F04655,(노인) 노인교실,노인여가복지시설,자치구,김미성,1154500000,금천구,서울특별시 금천구 범안로17길 22 (독산동),37.4674676,126.8944595
시흥중앙교회 시니어아카데미,F04691,(노인) 노인교실,노인여가복지시설,자치구,김성은,1154500000,금천구,서울특별시 금천구 시흥대로72길 13 (시흥동),37.45717302,126.9002911
구립용마경로복지센터,G0434,(노인) 노인복지관(소규모),노인여가복지시설,자치구,윤혜숙,1126000000,중랑구,서울특별시 중랑구 용마산로94길 98 (면목동),37.58739985,127.1018199
인왕어르신복지센터,G0723,(노인) 노인복지관(소규모),노인여가복지시설,자치구,박광준,1141000000,서대문구,서울특별시 서대문구 통일로26길12-5 (홍제동),37.58279515,126.9506698
용강노인복지관,G0811,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김성호,1144000000,마포구,서울특별시 마포구 토정로31길 31 (용강동),37.54232552,126.9428348
목동실버복지문화센터,G1269,(노인) 노인복지관,노인여가복지시설,자치구,박노숙,1147000000,양천구,서울특별시 양천구 목동  765번지 1호,37.53646455,126.8692679
사당어르신종합복지관,G1437,(노인) 노인복지관,노인여가복지시설,자치구,최재경,1159000000,동작구,서울특별시 동작구 남부순환로 2081 (사당동),37.47701714,126.9798517
구립영등포어르신복지센터,G1685,(노인) 노인교실,노인여가복지시설,자치구,김나희,1156000000,영등포구,서울특별시 영등포구 도영로22길 36-0 4층해광빌딩,37.51015661,126.9032928
영등포50플러스센터,G1782,(노인) 노인교실,노인여가복지시설,자치구,오주호,1156000000,영등포구,서울특별시 영등포구 여의대방로 372여의도복지관 3층 ,37.51814195,126.9307706
구립여의도어르신복지센터,G1783,(노인) 노인교실,노인여가복지시설,자치구,오주호,1156000000,영등포구,서울특별시 영등포구 여의대방로 372 (여의도동),37.51814195,126.9307706
압구정노인복지센터,G2071,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김성진,1168000000,강남구,서울특별시 강남구 도산대로53길5 (신사동),37.52353939,127.0381722
노원50플러스센터,G2529,(노인) 노인교실,노인여가복지시설,자치구,장부경,1135000000,노원구,서울특별시 노원구 노원로30길73 (상계동),37.65611926,127.070718
성동구립 사근동노인복지센터,G2855,(노인) 노인복지관(소규모),노인여가복지시설,자치구,이도선,1120000000,성동구,서울특별시 성동구 사근동길 37 2층 (사근동),37.56149957,127.045326
밝은내어르신복지센터,G3369,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김동호,1147000000,양천구,서울특별시 양천구 신월로24길 19 (신월동 신월종합사회복지관 2층),37.52003276,126.8473669
구립대조노인복지관,G3614,(노인) 노인복지관(소규모),노인여가복지시설,자치구,이동열,1138000000,은평구,서울특별시 은평구 역말로9길 27(대조동),37.61343759,126.9219681
구립신내경로복지센터,G3875,(노인) 노인복지관(소규모),노인여가복지시설,자치구,최유형,1126000000,중랑구,서울특별시 중랑구 망우로65길 20-0 (신내동)20 (신내동),37.6012541,127.0999468
월계어르신복지센터,G4109,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김현범,1135000000,노원구,서울특별시 노원구 월계동  936번지,37.62425989,127.0508008
성북구립 석관실버복지센터,G4165,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김주홍,1129000000,성북구,서울특별시 성북구 화랑로32길 88 (석관동),37.60671088,127.0582481
성북구립 정릉실버복지센터,G4230,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김병래,1129000000,성북구,서울특별시 성북구 솔샘로 8 (정릉동),37.60824197,127.0046584
성북50플러스센터,G4573,(노인) 노인교실,노인여가복지시설,자치구,장성호,1129000000,성북구,서울특별시 성북구 지봉로24길 26 (보문동5가),37.58387155,127.0193243
서초구립느티나무쉼터,G4645,(노인) 노인복지관,노인여가복지시설,자치구,백혁,1165000000,서초구,서울특별시 서초구 염곡말길 9 (염곡동 느티나무쉼터),37.46182406,127.050699
성수1가2동노인복지센터,G4813,(노인) 노인복지관,노인여가복지시설,자치구,박필선,1120000000,성동구,서울특별시 성동구 왕십리로5길 6층 (성수동1가 성수1가2동 공공복합청사),37.54640255,127.0443497
성북구립 삼선실버복지센터,G5082,(노인) 노인복지관(소규모),노인여가복지시설,자치구,나은미,1129000000,성북구,서울특별시 성북구 삼선교로18길 41 (삼선동5가),37.58915391,127.0140792
상도은빛어르신복지관,G5219,(노인) 노인복지관(소규모),노인여가복지시설,자치구,최재경,1159000000,동작구,서울특별시 동작구 매봉로 36 (상도1동),37.50645892,126.951388
강남70플러스라운지,G5500,(노인) 노인교실,노인여가복지시설,자치구,이은주,1168000000,강남구,서울특별시 강남구 도곡동 남부순환로378길 20,37.48498254,127.0460984
서서울어르신복지관,G5617,(노인) 노인복지관,노인여가복지시설,자치구,장은경,1147000000,양천구,서울특별시 양천구 가로공원로60가길16 (신월동),37.53426132,126.8266346
금천어르신복지센터,G6756,(노인) 노인교실,노인여가복지시설,자치구,김미성,1154500000,금천구,서울특별시 금천구 범안로17길 22 (독산동),37.4674676,126.8944595
서초구립방배노인종합복지관,Z0629,(노인) 노인복지관,노인여가복지시설,자치구,이창열,1165000000,서초구,서울특별시 서초구 방배천로 48,37.48076743,126.9827869
