행정동코드,행정동,경로당수,복지시설수,총노인시설수,읍면동명칭,읍면동코드,,
1101053,사직동,0,0,0,사직동,1101053 ,TRUE,TRUE
1101054,삼청동,2,0,2,삼청동,1101054 ,TRUE,TRUE
1101055,부암동,1,0,1,부암동,1101055 ,TRUE,TRUE
1101056,평창동,6,0,6,평창동,1101056,TRUE,TRUE
1101057,무악동,2,0,2,무악동,1101057,TRUE,TRUE
1101058,교남동,2,0,2,교남동,1101058,TRUE,TRUE
1101060,가회동,3,0,3,가회동,1101060,TRUE,TRUE
1101061,종로1.2.3.4가동,14,1,15,종로1.2.3.4가동,1101061,TRUE,TRUE
1101063,종로5.6가동,5,0,5,종로5.6가동,1101063,TRUE,TRUE
1101064,이화동,5,1,6,이화동,1101064,TRUE,TRUE
1101067,창신1동,3,0,3,창신1동,1101067,TRUE,TRUE
1101068,창신2동,3,0,3,창신2동,1101068,TRUE,TRUE
1101069,창신3동,4,0,4,창신3동,1101069,TRUE,TRUE
1101070,숭인1동,2,0,2,숭인1동,1101070,TRUE,TRUE
1101071,숭인2동,2,0,2,숭인2동,1101071,TRUE,TRUE
1101072,청운효자동,2,0,2,청운효자동,1101072,TRUE,TRUE
1101065,혜화동,4,0,4,혜화동,1101073,TRUE,FALSE
1101066,명륜3가동,2,0,2,,,,
1102052,소공동,1,0,1,소공동,1102052,TRUE,TRUE
1102054,회현동,4,0,4,회현동,1102054,TRUE,TRUE
1102055,명동,0,0,0,명동,1102055,TRUE,TRUE
1102057,필동,1,0,1,필동,1102057,TRUE,TRUE
1102058,장충동,2,0,2,장충동,1102058,TRUE,TRUE
1102059,광희동,3,0,3,광희동,1102059,TRUE,TRUE
1102060,을지로동,1,0,1,을지로동,1102060,TRUE,TRUE
1102065,신당5동,6,0,6,신당5동,1102065,TRUE,TRUE
1102067,황학동,2,0,2,황학동,1102067,TRUE,TRUE
1102068,중림동,4,0,4,중림동,1102068,TRUE,TRUE
1102069,신당동,4,0,4,신당동,1102069,TRUE,TRUE
1102062,신당2동,3,0,3,다산동,1102070,FALSE,FALSE
1102063,신당3동,5,1,6,약수동,1102071,FALSE,FALSE
1102064,신당4동,5,1,6,청구동,1102072,FALSE,FALSE
1102066,신당6동,1,0,1,동화동,1102073,FALSE,FALSE
1103051,후암동,3,0,3,후암동,1103051,TRUE,TRUE
1103052,용산2가동,4,0,4,용산2가동,1103052,TRUE,TRUE
1103053,남영동,4,0,4,남영동,1103053,TRUE,TRUE
1103057,원효로2동,3,0,3,원효로2동,1103057,TRUE,TRUE
1103058,효창동,4,0,4,효창동,1103058,TRUE,TRUE
1103059,용문동,6,0,6,용문동,1103059,TRUE,TRUE
1103063,이촌1동,10,0,10,이촌1동,1103063,TRUE,TRUE
1103064,이촌2동,5,0,5,이촌2동,1103064,TRUE,TRUE
1103065,이태원1동,5,0,5,이태원1동,1103065,TRUE,TRUE
1103066,이태원2동,6,0,6,이태원2동,1103066,TRUE,TRUE
1103069,서빙고동,8,0,8,서빙고동,1103069,TRUE,TRUE
1103070,보광동,11,0,11,보광동,1103070,TRUE,TRUE
1103071,청파동,4,1,5,청파동,1103071,TRUE,TRUE
1103072,원효로1동,7,0,7,원효로1동,1103072,TRUE,TRUE
1103073,한강로동,8,0,8,한강로동,1103073,TRUE,TRUE
1103074,한남동,10,1,11,한남동,1103074,TRUE,TRUE
1104052,왕십리2동,16,0,16,왕십리2동,1104052,TRUE,TRUE
1104054,마장동,12,1,13,마장동,1104054,TRUE,TRUE
1104055,사근동,6,1,7,사근동,1104055,TRUE,TRUE
1104056,행당1동,7,0,7,행당1동,1104056,TRUE,TRUE
1104057,행당2동,5,0,5,행당2동,1104057,TRUE,TRUE
1104058,응봉동,9,0,9,응봉동,1104058,TRUE,TRUE
1104059,금호1가동,4,0,4,금호1가동,1104059,TRUE,TRUE
1104062,금호4가동,11,0,11,금호4가동,1104062,TRUE,TRUE
1104065,성수1가1동,11,0,11,성수1가1동,1104065,TRUE,TRUE
1104066,성수1가2동,7,1,8,성수1가2동,1104066,TRUE,TRUE
1104067,성수2가1동,8,0,8,성수2가1동,1104067,TRUE,TRUE
1104068,성수2가3동,9,0,9,성수2가3동,1104068,TRUE,TRUE
1104069,송정동,5,0,5,송정동,1104069,TRUE,TRUE
1104070,용답동,4,0,4,용답동,1104070,TRUE,TRUE
1104071,왕십리도선동,5,1,6,왕십리도선동,1104071,TRUE,TRUE
1104072,금호2.3가동,11,0,11,금호2.3가동,1104072,TRUE,TRUE
1104073,옥수동,13,0,13,옥수동,1104073,TRUE,TRUE
1105053,화양동,2,0,2,화양동,1105053,TRUE,TRUE
1105054,군자동,4,1,5,군자동,1105054,TRUE,TRUE
1105055,중곡1동,2,0,2,중곡1동,1105055,TRUE,TRUE
1105056,중곡2동,3,0,3,중곡2동,1105056,TRUE,TRUE
1105057,중곡3동,1,0,1,중곡3동,1105057,TRUE,TRUE
1105058,중곡4동,5,0,5,중곡4동,1105058,TRUE,TRUE
1105059,능동,1,0,1,능동,1105059,TRUE,TRUE
1105060,구의1동,4,0,4,구의1동,1105060,TRUE,TRUE
1105061,구의2동,3,0,3,구의2동,1105061,TRUE,TRUE
1105062,구의3동,7,0,7,구의3동,1105062,TRUE,TRUE
1105063,광장동,20,0,20,광장동,1105063,TRUE,TRUE
1105064,자양1동,5,0,5,자양1동,1105064,TRUE,TRUE
1105065,자양2동,10,0,10,자양2동,1105065,TRUE,TRUE
1105066,자양3동,13,0,13,자양3동,1105066,TRUE,TRUE
1105067,자양4동,8,0,8,자양4동,1105067,TRUE,TRUE
1106071,회기동,1,0,1,회기동,1106071,TRUE,TRUE
1106072,휘경1동,8,0,8,휘경1동,1106072,TRUE,TRUE
1106073,휘경2동,8,0,8,휘경2동,1106073,TRUE,TRUE
1106080,청량리동,14,1,15,청량리동,1106080,TRUE,TRUE
1106081,용신동,6,0,6,용신동,1106081,TRUE,TRUE
1106082,제기동,5,0,5,제기동,1106082,TRUE,TRUE
1106083,전농1동,2,0,2,전농1동,1106083,TRUE,TRUE
1106084,전농2동,8,0,8,전농2동,1106084,TRUE,TRUE
1106086,답십리2동,16,0,16,답십리2동,1106086,TRUE,TRUE
1106087,장안1동,12,0,12,장안1동,1106087,TRUE,TRUE
1106088,장안2동,11,0,11,장안2동,1106088,TRUE,TRUE
1106089,이문1동,8,0,8,이문1동,1106089,TRUE,TRUE
1106090,이문2동,10,0,10,이문2동,1106090,TRUE,TRUE
1106085,답십리1동,9,0,9,답십리1동,1106091,TRUE,FALSE
1107052,면목2동,5,1,6,면목2동,1107052,TRUE,TRUE
1107054,면목4동,8,0,8,면목4동,1107054,TRUE,TRUE
1107055,면목5동,3,0,3,면목5동,1107055,TRUE,TRUE
1107057,면목7동,12,0,12,면목7동,1107057,TRUE,TRUE
1107059,상봉1동,10,0,10,상봉1동,1107059,TRUE,TRUE
1107060,상봉2동,2,0,2,상봉2동,1107060,TRUE,TRUE
1107061,중화1동,6,1,7,중화1동,1107061,TRUE,TRUE
1107062,중화2동,5,0,5,중화2동,1107062,TRUE,TRUE
1107064,묵1동,13,0,13,묵1동,1107064,TRUE,TRUE
1107065,묵2동,5,0,5,묵2동,1107065,TRUE,TRUE
1107068,망우3동,2,0,2,망우3동,1107068,TRUE,TRUE
1107069,신내1동,18,1,19,신내1동,1107069,TRUE,TRUE
1107070,신내2동,9,1,10,신내2동,1107070,TRUE,TRUE
1107071,면목본동,7,0,7,면목본동,1107071,TRUE,TRUE
1107072,면목3.8동,8,1,9,면목3.8동,1107072,TRUE,TRUE
1107073,망우본동,10,0,10,망우본동,1107073,TRUE,TRUE
1108058,돈암1동,1,0,1,돈암1동,1108058,TRUE,TRUE
1108059,돈암2동,11,0,11,돈암2동,1108059,TRUE,TRUE
1108060,안암동,6,0,6,안암동,1108060,TRUE,TRUE
1108061,보문동,6,1,7,보문동,1108061,TRUE,TRUE
1108062,정릉1동,9,0,9,정릉1동,1108062,TRUE,TRUE
1108063,정릉2동,10,1,11,정릉2동,1108063,TRUE,TRUE
1108064,정릉3동,3,0,3,정릉3동,1108064,TRUE,TRUE
1108065,정릉4동,13,0,13,정릉4동,1108065,TRUE,TRUE
1108066,길음1동,13,0,13,길음1동,1108066,TRUE,TRUE
1108068,길음2동,5,0,5,길음2동,1108068,TRUE,TRUE
1108071,월곡1동,9,0,9,월곡1동,1108071,TRUE,TRUE
1108072,월곡2동,6,1,7,월곡2동,1108072,TRUE,TRUE
1108076,장위1동,5,0,5,장위1동,1108076,TRUE,TRUE
1108077,장위2동,1,0,1,장위2동,1108077,TRUE,TRUE
1108078,장위3동,4,1,5,장위3동,1108078,TRUE,TRUE
1108081,성북동,4,0,4,성북동,1108081,TRUE,TRUE
1108082,삼선동,7,1,8,삼선동,1108082,TRUE,TRUE
1108083,동선동,4,0,4,동선동,1108083,TRUE,TRUE
1108084,종암동,15,1,16,종암동,1108084,TRUE,TRUE
1108085,석관동,8,1,9,석관동,1108085,TRUE,TRUE
1109060,번1동,6,0,6,번1동,1109060,TRUE,TRUE
1109061,번2동,10,0,10,번2동,1109061,TRUE,TRUE
1109062,번3동,13,0,13,번3동,1109062,TRUE,TRUE
1109063,수유1동,5,0,5,수유1동,1109063,TRUE,TRUE
1109064,수유2동,5,0,5,수유2동,1109064,TRUE,TRUE
1109065,수유3동,4,0,4,수유3동,1109065,TRUE,TRUE
1109069,삼양동,14,0,14,삼양동,1109069,TRUE,TRUE
1109070,미아동,7,0,7,미아동,1109070,TRUE,TRUE
1109071,송중동,6,0,6,송중동,1109071,TRUE,TRUE
1109072,송천동,10,0,10,송천동,1109072,TRUE,TRUE
1109073,삼각산동,5,0,5,삼각산동,1109073,TRUE,TRUE
1109074,우이동,4,0,4,우이동,1109074,TRUE,TRUE
1109075,인수동,7,1,8,인수동,1109075,TRUE,TRUE
1110051,쌍문1동,13,1,14,쌍문1동,1110051,TRUE,TRUE
1110052,쌍문2동,7,1,8,쌍문2동,1110052,TRUE,TRUE
1110053,쌍문3동,7,0,7,쌍문3동,1110053,TRUE,TRUE
1110054,쌍문4동,11,0,11,쌍문4동,1110054,TRUE,TRUE
1110055,방학1동,11,0,11,방학1동,1110055,TRUE,TRUE
1110056,방학2동,4,1,5,방학2동,1110056,TRUE,TRUE
1110057,방학3동,16,0,16,방학3동,1110057,TRUE,TRUE
1110059,창1동,6,0,6,창1동,1110059,TRUE,TRUE
1110060,창2동,7,0,7,창2동,1110060,TRUE,TRUE
1110061,창3동,5,1,6,창3동,1110061,TRUE,TRUE
1110062,창4동,8,0,8,창4동,1110062,TRUE,TRUE
1110063,창5동,12,0,12,창5동,1110063,TRUE,TRUE
1110064,도봉1동,10,1,11,도봉1동,1110064,TRUE,TRUE
1110065,도봉2동,14,0,14,도봉2동,1110065,TRUE,TRUE
1111051,월계1동,17,1,18,월계1동,1111051,TRUE,TRUE
1111052,월계2동,7,0,7,월계2동,1111052,TRUE,TRUE
1111053,월계3동,11,0,11,월계3동,1111053,TRUE,TRUE
1111056,공릉2동,21,1,22,공릉2동,1111056,TRUE,TRUE
1111058,하계1동,11,1,12,하계1동,1111058,TRUE,TRUE
1111059,하계2동,4,0,4,하계2동,1111059,TRUE,TRUE
1111060,중계본동,14,0,14,중계본동,1111060,TRUE,TRUE
1111061,중계1동,13,0,13,중계1동,1111061,TRUE,TRUE
1111064,중계4동,10,0,10,중계4동,1111064,TRUE,TRUE
1111065,상계1동,21,0,21,상계1동,1111065,TRUE,TRUE
1111066,상계2동,11,1,12,상계2동,1111066,TRUE,TRUE
1111069,상계5동,6,0,6,상계5동,1111069,TRUE,TRUE
1111072,상계8동,4,0,4,상계8동,1111072,TRUE,TRUE
1111073,상계9동,4,0,4,상계9동,1111073,TRUE,TRUE
1111074,상계10동,6,0,6,상계10동,1111074,TRUE,TRUE
1111076,상계3.4동,13,0,13,상계3.4동,1111076,TRUE,TRUE
1111077,상계6.7동,9,0,9,상계6.7동,1111077,TRUE,TRUE
1111078,중계2.3동,10,0,10,중계2.3동,1111078,TRUE,TRUE
1111075,공릉1.3동,19,0,19,공릉1동,1111079,FALSE,FALSE
1112051,녹번동,10,0,10,녹번동,1112051,TRUE,TRUE
1112052,불광1동,12,1,13,불광1동,1112052,TRUE,TRUE
1112055,갈현1동,4,1,5,갈현1동,1112055,TRUE,TRUE
1112056,갈현2동,7,0,7,갈현2동,1112056,TRUE,TRUE
1112057,구산동,5,0,5,구산동,1112057,TRUE,TRUE
1112058,대조동,4,1,5,대조동,1112058,TRUE,TRUE
1112059,응암1동,4,0,4,응암1동,1112059,TRUE,TRUE
1112060,응암2동,4,0,4,응암2동,1112060,TRUE,TRUE
1112065,신사1동,9,0,9,신사1동,1112065,TRUE,TRUE
1112066,신사2동,8,1,9,신사2동,1112066,TRUE,TRUE
1112067,증산동,6,0,6,증산동,1112067,TRUE,TRUE
1112068,수색동,8,0,8,수색동,1112068,TRUE,TRUE
1112071,진관동,31,1,32,진관동,1112071,TRUE,TRUE
1112072,불광2동,6,0,6,불광2동,1112072,TRUE,TRUE
1112073,응암3동,3,1,4,응암3동,1112073,TRUE,TRUE
1112074,역촌동,2,1,3,역촌동,1112074,TRUE,TRUE
1113052,천연동,12,1,13,천연동,1113052,TRUE,TRUE
1113062,홍제1동,5,0,5,홍제1동,1113062,TRUE,TRUE
1113064,홍제3동,2,0,2,홍제3동,1113064,TRUE,TRUE
1113065,홍제2동,20,1,21,홍제2동,1113065,TRUE,TRUE
1113066,홍은1동,5,0,5,홍은1동,1113066,TRUE,TRUE
1113068,홍은2동,13,0,13,홍은2동,1113068,TRUE,TRUE
1113069,남가좌1동,1,0,1,남가좌1동,1113069,TRUE,TRUE
1113070,남가좌2동,12,0,12,남가좌2동,1113070,TRUE,TRUE
1113071,북가좌1동,4,0,4,북가좌1동,1113071,TRUE,TRUE
1113072,북가좌2동,14,1,15,북가좌2동,1113072,TRUE,TRUE
1113073,충현동,6,0,6,충현동,1113073,TRUE,TRUE
1113074,북아현동,5,0,5,북아현동,1113074,TRUE,TRUE
1113075,신촌동,4,0,4,신촌동,1113075,TRUE,TRUE
1113076,연희동,10,1,11,연희동,1113076,TRUE,TRUE
1114059,용강동,7,1,8,용강동,1114059,TRUE,TRUE
1114060,대흥동,7,1,8,대흥동,1114060,TRUE,TRUE
1114061,염리동,8,0,8,염리동,1114061,TRUE,TRUE
1114063,신수동,11,0,11,신수동,1114063,TRUE,TRUE
1114066,서교동,5,0,5,서교동,1114066,TRUE,TRUE
