행정동코드,행정동,경로당수,복지시설수,총노인시설수,읍면동명칭,읍면동코드,,
1114068,합정동,3,0,3,합정동,1114068,TRUE,TRUE
1114069,망원1동,5,0,5,망원1동,1114069,TRUE,TRUE
1114070,망원2동,4,0,4,망원2동,1114070,TRUE,TRUE
1114071,연남동,5,0,5,연남동,1114071,TRUE,TRUE
1114072,성산1동,5,0,5,성산1동,1114072,TRUE,TRUE
1114073,성산2동,18,0,18,성산2동,1114073,TRUE,TRUE
1114074,상암동,6,0,6,상암동,1114074,TRUE,TRUE
1114075,도화동,11,0,11,도화동,1114075,TRUE,TRUE
1114076,서강동,8,1,9,서강동,1114076,TRUE,TRUE
1114077,공덕동,14,1,15,공덕동,1114077,TRUE,TRUE
1114078,아현동,13,0,13,아현동,1114078,TRUE,TRUE
1115051,목1동,17,0,17,목1동,1115051,TRUE,TRUE
1115052,목2동,10,0,10,목2동,1115052,TRUE,TRUE
1115053,목3동,5,0,5,목3동,1115053,TRUE,TRUE
1115054,목4동,6,1,7,목4동,1115054,TRUE,TRUE
1115057,신월1동,11,0,11,신월1동,1115057,TRUE,TRUE
1115058,신월2동,8,1,9,신월2동,1115058,TRUE,TRUE
1115059,신월3동,3,1,4,신월3동,1115059,TRUE,TRUE
1115060,신월4동,10,0,10,신월4동,1115060,TRUE,TRUE
1115061,신월5동,2,0,2,신월5동,1115061,TRUE,TRUE
1115062,신월6동,5,0,5,신월6동,1115062,TRUE,TRUE
1115063,신월7동,7,0,7,신월7동,1115063,TRUE,TRUE
1115064,신정1동,18,0,18,신정1동,1115064,TRUE,TRUE
1115065,신정2동,12,0,12,신정2동,1115065,TRUE,TRUE
1115066,신정3동,19,0,19,신정3동,1115066,TRUE,TRUE
1115069,신정6동,3,0,3,신정6동,1115069,TRUE,TRUE
1115070,신정7동,9,1,10,신정7동,1115070,TRUE,TRUE
1115071,목5동,5,0,5,목5동,1115071,TRUE,TRUE
1115072,신정4동,4,0,4,신정4동,1115072,TRUE,TRUE
1116051,염창동,34,0,34,염창동,1116051,TRUE,TRUE
1116052,등촌1동,12,0,12,등촌1동,1116052,TRUE,TRUE
1116053,등촌2동,7,0,7,등촌2동,1116053,TRUE,TRUE
1116054,등촌3동,20,1,21,등촌3동,1116054,TRUE,TRUE
1116055,화곡본동,6,1,7,화곡본동,1116055,TRUE,TRUE
1116057,화곡2동,2,0,2,화곡2동,1116057,TRUE,TRUE
1116058,화곡3동,5,0,5,화곡3동,1116058,TRUE,TRUE
1116059,화곡4동,4,0,4,화곡4동,1116059,TRUE,TRUE
1116061,화곡6동,5,1,6,화곡6동,1116061,TRUE,TRUE
1116063,화곡8동,9,1,10,화곡8동,1116063,TRUE,TRUE
1116064,가양1동,24,0,24,가양1동,1116064,TRUE,TRUE
1116065,가양2동,7,0,7,가양2동,1116065,TRUE,TRUE
1116066,가양3동,8,0,8,가양3동,1116066,TRUE,TRUE
1116067,발산1동,9,0,9,발산1동,1116067,TRUE,TRUE
1116069,공항동,7,0,7,공항동,1116069,TRUE,TRUE
1116070,방화1동,22,0,22,방화1동,1116070,TRUE,TRUE
1116071,방화2동,9,0,9,방화2동,1116071,TRUE,TRUE
1116072,방화3동,16,0,16,방화3동,1116072,TRUE,TRUE
1116073,화곡1동,6,1,7,화곡1동,1116073,TRUE,TRUE
1116074,우장산동,7,0,7,우장산동,1116074,TRUE,TRUE
1117051,신도림동,20,0,20,신도림동,1117051,TRUE,TRUE
1117052,구로1동,13,0,13,구로1동,1117052,TRUE,TRUE
1117054,구로3동,10,0,10,구로3동,1117054,TRUE,TRUE
1117055,구로4동,9,0,9,구로4동,1117055,TRUE,TRUE
1117056,구로5동,13,1,14,구로5동,1117056,TRUE,TRUE
1117061,고척1동,16,0,16,고척1동,1117061,TRUE,TRUE
1117062,고척2동,8,0,8,고척2동,1117062,TRUE,TRUE
1117064,개봉2동,13,0,13,개봉2동,1117064,TRUE,TRUE
1117065,개봉3동,5,0,5,개봉3동,1117065,TRUE,TRUE
1117067,오류1동,9,0,9,오류1동,1117067,TRUE,TRUE
1117069,수궁동,8,1,9,수궁동,1117069,TRUE,TRUE
1117070,가리봉동,4,0,4,가리봉동,1117070,TRUE,TRUE
1117071,구로2동,10,0,10,구로2동,1117071,TRUE,TRUE
1117072,개봉1동,11,0,11,개봉1동,1117072,TRUE,TRUE
1117068,오류2동,15,0,15,오류2동,1117073,TRUE,FALSE
1117074,항동,6,0,6,항동,1117074,TRUE,TRUE
1118051,가산동,9,0,9,가산동,1118051,TRUE,TRUE
1118052,독산1동,19,4,23,독산1동,1118052,TRUE,TRUE
1118053,독산2동,2,1,3,독산2동,1118053,TRUE,TRUE
1118054,독산3동,6,0,6,독산3동,1118054,TRUE,TRUE
1118055,독산4동,8,2,10,독산4동,1118055,TRUE,TRUE
1118057,시흥1동,5,2,7,시흥1동,1118057,TRUE,TRUE
1118058,시흥2동,11,1,12,시흥2동,1118058,TRUE,TRUE
1118059,시흥3동,5,0,5,시흥3동,1118059,TRUE,TRUE
1118060,시흥4동,6,1,7,시흥4동,1118060,TRUE,TRUE
1118061,시흥5동,8,1,9,시흥5동,1118061,TRUE,TRUE
1119054,여의동,5,2,7,여의동,1119054,TRUE,TRUE
1119055,당산1동,14,0,14,당산1동,1119055,TRUE,TRUE
1119056,당산2동,15,0,15,당산2동,1119056,TRUE,TRUE
1119061,양평1동,17,0,17,양평1동,1119061,TRUE,TRUE
1119062,양평2동,13,0,13,양평2동,1119062,TRUE,TRUE
1119063,신길1동,4,0,4,신길1동,1119063,TRUE,TRUE
1119065,신길3동,4,0,4,신길3동,1119065,TRUE,TRUE
1119066,신길4동,14,0,14,신길4동,1119066,TRUE,TRUE
1119067,신길5동,4,0,4,신길5동,1119067,TRUE,TRUE
1119068,신길6동,9,0,9,신길6동,1119068,TRUE,TRUE
1119069,신길7동,3,0,3,신길7동,1119069,TRUE,TRUE
1119070,대림1동,6,0,6,대림1동,1119070,TRUE,TRUE
1119071,대림2동,5,0,5,대림2동,1119071,TRUE,TRUE
1119072,대림3동,9,0,9,대림3동,1119072,TRUE,TRUE
1119073,영등포본동,8,1,9,영등포본동,1119073,TRUE,TRUE
1119074,영등포동,13,0,13,영등포동,1119074,TRUE,TRUE
1119075,도림동,8,0,8,도림동,1119075,TRUE,TRUE
1119076,문래동,25,1,26,문래동,1119076,TRUE,TRUE
1120052,노량진2동,2,0,2,노량진2동,1120052,TRUE,TRUE
1120053,상도1동,10,1,11,상도1동,1120053,TRUE,TRUE
1120054,상도2동,6,0,6,상도2동,1120054,TRUE,TRUE
1120055,상도3동,3,0,3,상도3동,1120055,TRUE,TRUE
1120056,상도4동,16,0,16,상도4동,1120056,TRUE,TRUE
1120063,사당1동,3,1,4,사당1동,1120063,TRUE,TRUE
1120065,사당3동,9,0,9,사당3동,1120065,TRUE,TRUE
1120066,사당4동,6,0,6,사당4동,1120066,TRUE,TRUE
1120067,사당5동,6,0,6,사당5동,1120067,TRUE,TRUE
1120068,대방동,12,1,13,대방동,1120068,TRUE,TRUE
1120069,신대방1동,8,0,8,신대방1동,1120069,TRUE,TRUE
1120070,신대방2동,5,0,5,신대방2동,1120070,TRUE,TRUE
1120071,흑석동,10,0,10,흑석동,1120071,TRUE,TRUE
1120072,노량진1동,20,0,20,노량진1동,1120072,TRUE,TRUE
1120073,사당2동,6,0,6,사당2동,1120073,TRUE,TRUE
1121052,보라매동,3,1,4,보라매동,1121052,TRUE,TRUE
1121054,청림동,5,0,5,청림동,1121054,TRUE,TRUE
1121057,행운동,5,0,5,행운동,1121057,TRUE,TRUE
1121058,낙성대동,3,0,3,낙성대동,1121058,TRUE,TRUE
1121061,중앙동,3,0,3,중앙동,1121061,TRUE,TRUE
1121062,인헌동,4,0,4,인헌동,1121062,TRUE,TRUE
1121063,남현동,3,0,3,남현동,1121063,TRUE,TRUE
1121064,서원동,4,0,4,서원동,1121064,TRUE,TRUE
1121065,신원동,2,0,2,신원동,1121065,TRUE,TRUE
1121066,서림동,1,0,1,서림동,1121066,TRUE,TRUE
1121068,신사동,3,0,3,신사동,1121068,TRUE,TRUE
1121069,신림동,2,0,2,신림동,1121069,TRUE,TRUE
1121071,난향동,8,0,8,난향동,1121071,TRUE,TRUE
1121072,조원동,5,0,5,조원동,1121072,TRUE,TRUE
1121073,대학동,2,0,2,대학동,1121073,TRUE,TRUE
1121078,은천동,11,0,11,은천동,1121078,TRUE,TRUE
1121079,성현동,8,0,8,성현동,1121079,TRUE,TRUE
1121080,청룡동,5,0,5,청룡동,1121080,TRUE,TRUE
1121081,난곡동,5,0,5,난곡동,1121081,TRUE,TRUE
1121082,삼성동,8,0,8,삼성동,1121082,TRUE,TRUE
1121083,미성동,9,0,9,미성동,1121083,TRUE,TRUE
1122051,서초1동,8,1,9,서초1동,1122051,TRUE,TRUE
1122052,서초2동,6,0,6,서초2동,1122052,TRUE,TRUE
1122053,서초3동,8,0,8,서초3동,1122053,TRUE,TRUE
1122054,서초4동,7,0,7,서초4동,1122054,TRUE,TRUE
1122055,잠원동,24,0,24,잠원동,1122055,TRUE,TRUE
1122056,반포본동,1,0,1,반포본동,1122056,TRUE,TRUE
1122057,반포1동,7,0,7,반포1동,1122057,TRUE,TRUE
1122058,반포2동,2,0,2,반포2동,1122058,TRUE,TRUE
1122059,반포3동,8,0,8,반포3동,1122059,TRUE,TRUE
1122060,반포4동,6,0,6,반포4동,1122060,TRUE,TRUE
1122061,방배본동,4,0,4,방배본동,1122061,TRUE,TRUE
1122062,방배1동,5,0,5,방배1동,1122062,TRUE,TRUE
1122063,방배2동,5,1,6,방배2동,1122063,TRUE,TRUE
1122064,방배3동,11,0,11,방배3동,1122064,TRUE,TRUE
1122065,방배4동,4,0,4,방배4동,1122065,TRUE,TRUE
1122066,양재1동,17,1,18,양재1동,1122066,TRUE,TRUE
1122067,양재2동,4,0,4,양재2동,1122067,TRUE,TRUE
1122068,내곡동,14,1,15,내곡동,1122068,TRUE,TRUE
1123051,신사동,3,0,3,신사동,1123051,TRUE,TRUE
1123052,논현1동,5,1,6,논현1동,1123052,TRUE,TRUE
1123053,논현2동,5,0,5,논현2동,1123053,TRUE,TRUE
1123058,삼성1동,12,1,13,삼성1동,1123058,TRUE,TRUE
1123059,삼성2동,10,0,10,삼성2동,1123059,TRUE,TRUE
1123060,대치1동,13,0,13,대치1동,1123060,TRUE,TRUE
1123063,대치4동,6,1,7,대치4동,1123063,TRUE,TRUE
1123064,역삼1동,19,1,20,역삼1동,1123064,TRUE,TRUE
1123065,역삼2동,5,1,6,역삼2동,1123065,TRUE,TRUE
1123066,도곡1동,11,0,11,도곡1동,1123066,TRUE,TRUE
1123067,도곡2동,4,1,5,도곡2동,1123067,TRUE,TRUE
1123068,개포1동,10,0,10,개포1동,1123068,TRUE,TRUE
1123071,개포4동,3,0,3,개포4동,1123071,TRUE,TRUE
1123072,일원본동,13,0,13,일원본동,1123072,TRUE,TRUE
1123073,일원1동,2,0,2,일원1동,1123073,TRUE,TRUE
1123074,일원2동,3,0,3,일원2동,1123074,TRUE,TRUE
1123075,수서동,9,0,9,수서동,1123075,TRUE,TRUE
1123076,세곡동,20,0,20,세곡동,1123076,TRUE,TRUE
1123077,압구정동,9,1,10,압구정동,1123077,TRUE,TRUE
1123078,청담동,12,0,12,청담동,1123078,TRUE,TRUE
1123079,대치2동,9,0,9,대치2동,1123079,TRUE,TRUE
1123080,개포2동,7,0,7,개포2동,1123080,TRUE,TRUE
1124051,풍납1동,6,0,6,풍납1동,1124051,TRUE,TRUE
1124052,풍납2동,12,0,12,풍납2동,1124052,TRUE,TRUE
1124053,거여1동,6,0,6,거여1동,1124053,TRUE,TRUE
1124054,거여2동,11,0,11,거여2동,1124054,TRUE,TRUE
1124055,마천1동,5,0,5,마천1동,1124055,TRUE,TRUE
1124056,마천2동,5,0,5,마천2동,1124056,TRUE,TRUE
1124057,방이1동,3,0,3,방이1동,1124057,TRUE,TRUE
1124058,방이2동,2,0,2,방이2동,1124058,TRUE,TRUE
1124059,오륜동,2,0,2,오륜동,1124059,TRUE,TRUE
1124060,오금동,16,0,16,오금동,1124060,TRUE,TRUE
1124061,송파1동,5,1,6,송파1동,1124061,TRUE,TRUE
1124062,송파2동,5,0,5,송파2동,1124062,TRUE,TRUE
1124063,석촌동,3,0,3,석촌동,1124063,TRUE,TRUE
1124064,삼전동,2,1,3,삼전동,1124064,TRUE,TRUE
1124065,가락본동,8,0,8,가락본동,1124065,TRUE,TRUE
1124066,가락1동,5,0,5,가락1동,1124066,TRUE,TRUE
1124067,가락2동,11,0,11,가락2동,1124067,TRUE,TRUE
1124068,문정1동,6,0,6,문정1동,1124068,TRUE,TRUE
1124069,문정2동,3,0,3,문정2동,1124069,TRUE,TRUE
1124071,잠실본동,5,0,5,잠실본동,1124071,TRUE,TRUE
1124075,잠실4동,5,0,5,잠실4동,1124075,TRUE,TRUE
1124077,잠실6동,3,0,3,잠실6동,1124077,TRUE,TRUE
1124078,잠실7동,2,0,2,잠실7동,1124078,TRUE,TRUE
1124079,잠실2동,3,0,3,잠실2동,1124079,TRUE,TRUE
1124080,잠실3동,6,0,6,잠실3동,1124080,TRUE,TRUE
1124070,장지동,15,1,16,장지동,1124081,TRUE,FALSE
,,,,,위례동,1124082,FALSE,FALSE
1125051,강일동,12,0,12,강일동,1125051,TRUE,TRUE
1125052,상일동,8,0,8,상일동,1125052,TRUE,TRUE
1125053,명일1동,4,0,4,명일1동,1125053,TRUE,TRUE
1125054,명일2동,9,1,10,명일2동,1125054,TRUE,TRUE
1125055,고덕1동,9,1,10,고덕1동,1125055,TRUE,TRUE
1125056,고덕2동,3,0,3,고덕2동,1125056,TRUE,TRUE
1125058,암사2동,2,0,2,암사2동,1125058,TRUE,TRUE
1125059,암사3동,11,0,11,암사3동,1125059,TRUE,TRUE
1125061,천호1동,5,0,5,천호1동,1125061,TRUE,TRUE
1125063,천호3동,4,0,4,천호3동,1125063,TRUE,TRUE
1125065,성내1동,12,0,12,성내1동,1125065,TRUE,TRUE
1125066,성내2동,3,0,3,성내2동,1125066,TRUE,TRUE
1125067,성내3동,1,0,1,성내3동,1125067,TRUE,TRUE
1125070,둔촌1동,8,0,8,둔촌1동,1125070,TRUE,TRUE
1125071,둔촌2동,6,0,6,둔촌2동,1125071,TRUE,TRUE
1125072,암사1동,9,0,9,암사1동,1125072,TRUE,TRUE
1125073,천호2동,14,1,15,천호2동,1125073,TRUE,TRUE
1125074,길동,9,0,9,길동,1125074,TRUE,TRUE
