읍면동코드,읍면동,주차장수
1101053,사직동,12
1101054,삼청동,2
1101055,부암동,1
1101056,평창동,4
1101057,무악동,0
1101058,교남동,2
1101060,가회동,3
1101061,종로1.2.3.4가동,17
1101063,종로5.6가동,3
1101064,이화동,1
1101067,창신1동,3
1101068,창신2동,1
1101069,창신3동,2
1101070,숭인1동,1
1101071,숭인2동,4
1101072,청운효자동,5
1101073,혜화동,3
1102052,소공동,9
1102054,회현동,8
1102055,명동,15
1102057,필동,4
1102058,장충동,1
1102059,광희동,12
1102060,을지로동,12
1102065,신당5동,5
1102067,황학동,1
1102068,중림동,2
1102069,신당동,5
1102070,다산동,9
1102071,약수동,2
1102072,청구동,2
1102073,동화동,2
1103051,후암동,2
1103052,용산2가동,2
1103053,남영동,0
1103057,원효로2동,1
1103058,효창동,3
1103059,용문동,2
1103063,이촌1동,2
1103064,이촌2동,0
1103065,이태원1동,2
1103066,이태원2동,3
1103069,서빙고동,1
1103070,보광동,0
1103071,청파동,3
1103072,원효로1동,2
1103073,한강로동,10
1103074,한남동,10
1104052,왕십리2동,1
1104054,마장동,15
1104055,사근동,5
1104056,행당1동,0
1104057,행당2동,2
1104058,응봉동,2
1104059,금호1가동,0
1104062,금호4가동,0
1104065,성수1가1동,3
1104066,성수1가2동,1
1104067,성수2가1동,2
1104068,성수2가3동,7
1104069,송정동,4
1104070,용답동,10
1104071,왕십리도선동,3
1104072,금호2.3가동,2
1104073,옥수동,1
1105053,화양동,1
1105054,군자동,1
1105055,중곡1동,1
1105056,중곡2동,1
1105057,중곡3동,1
1105058,중곡4동,2
1105059,능동,1
1105060,구의1동,1
1105061,구의2동,2
1105062,구의3동,3
1105063,광장동,1
1105064,자양1동,0
1105065,자양2동,4
1105066,자양3동,4
1105067,자양4동,2
1106071,회기동,2
1106072,휘경1동,2
1106073,휘경2동,5
1106080,청량리동,2
1106081,용신동,6
1106082,제기동,10
1106083,전농1동,2
1106084,전농2동,0
1106086,답십리2동,3
1106087,장안1동,4
1106088,장안2동,4
1106089,이문1동,4
1106090,이문2동,0
1106091,답십리1동,5
1107052,면목2동,6
1107054,면목4동,4
1107055,면목5동,3
1107057,면목7동,1
1107059,상봉1동,2
1107060,상봉2동,5
1107061,중화1동,2
1107062,중화2동,15
1107064,묵1동,3
1107065,묵2동,4
1107068,망우3동,4
1107069,신내1동,4
1107070,신내2동,1
1107071,면목본동,2
1107072,면목3.8동,3
1107073,망우본동,7
1108058,돈암1동,0
1108059,돈암2동,1
1108060,안암동,0
1108061,보문동,0
1108062,정릉1동,0
1108063,정릉2동,2
1108064,정릉3동,3
1108065,정릉4동,0
1108066,길음1동,0
1108068,길음2동,2
1108071,월곡1동,0
1108072,월곡2동,2
1108076,장위1동,3
1108077,장위2동,2
1108078,장위3동,3
1108081,성북동,2
1108082,삼선동,2
1108083,동선동,0
1108084,종암동,3
1108085,석관동,0
1109060,번1동,1
1109061,번2동,4
1109062,번3동,0
1109063,수유1동,6
1109064,수유2동,2
1109065,수유3동,4
1109069,삼양동,6
1109070,미아동,5
1109071,송중동,8
1109072,송천동,5
1109073,삼각산동,0
1109074,우이동,4
1109075,인수동,6
1110051,쌍문1동,2
1110052,쌍문2동,5
1110053,쌍문3동,2
1110054,쌍문4동,1
1110055,방학1동,3
1110056,방학2동,6
1110057,방학3동,1
1110059,창1동,4
1110060,창2동,5
1110061,창3동,2
1110062,창4동,6
1110063,창5동,3
1110064,도봉1동,6
1110065,도봉2동,6
1111051,월계1동,6
1111052,월계2동,1
1111053,월계3동,0
1111056,공릉2동,0
1111058,하계1동,2
1111059,하계2동,0
1111060,중계본동,3
1111061,중계1동,2
1111064,중계4동,2
1111065,상계1동,3
1111066,상계2동,4
1111069,상계5동,1
1111072,상계8동,1
1111073,상계9동,3
1111074,상계10동,2
1111076,상계3.4동,6
1111077,상계6.7동,9
1111078,중계2.3동,6
1111079,공릉1동,1
1112051,녹번동,3
1112052,불광1동,1
1112055,갈현1동,1
1112056,갈현2동,1
1112057,구산동,3
1112058,대조동,0
1112059,응암1동,0
1112060,응암2동,0
1112065,신사1동,1
1112066,신사2동,2
1112067,증산동,0
1112068,수색동,3
1112071,진관동,3
1112072,불광2동,3
1112073,응암3동,4
1112074,역촌동,2
1113052,천연동,2
1113062,홍제1동,1
1113064,홍제3동,4
1113065,홍제2동,1
1113066,홍은1동,6
1113068,홍은2동,3
1113069,남가좌1동,1
1113070,남가좌2동,3
1113071,북가좌1동,0
1113072,북가좌2동,0
1113073,충현동,3
1113074,북아현동,1
1113075,신촌동,2
1113076,연희동,9
1114059,용강동,5
1114060,대흥동,3
1114061,염리동,1
1114063,신수동,1
1114066,서교동,16
1114068,합정동,4
1114069,망원1동,9
1114070,망원2동,3
1114071,연남동,2
1114072,성산1동,1
1114073,성산2동,2
1114074,상암동,7
1114075,도화동,1
1114076,서강동,0
1114077,공덕동,1
1114078,아현동,0
1115051,목1동,6
1115052,목2동,1
1115053,목3동,6
1115054,목4동,1
1115057,신월1동,13
1115058,신월2동,2
1115059,신월3동,5
1115060,신월4동,0
1115061,신월5동,2
1115062,신월6동,2
1115063,신월7동,4
1115064,신정1동,3
1115065,신정2동,0
1115066,신정3동,6
1115069,신정6동,8
1115070,신정7동,6
1115071,목5동,11
1115072,신정4동,7
1116051,염창동,0
1116052,등촌1동,0
1116053,등촌2동,1
1116054,등촌3동,2
1116055,화곡본동,3
1116057,화곡2동,2
1116058,화곡3동,1
1116059,화곡4동,2
1116061,화곡6동,7
1116063,화곡8동,4
1116064,가양1동,3
1116065,가양2동,1
1116066,가양3동,2
1116067,발산1동,1
1116069,공항동,3
1116070,방화1동,1
1116071,방화2동,4
1116072,방화3동,3
1116073,화곡1동,5
1116074,우장산동,3
1117051,신도림동,0
1117052,구로1동,0
1117054,구로3동,2
1117055,구로4동,6
1117056,구로5동,4
1117061,고척1동,2
1117062,고척2동,2
1117064,개봉2동,2
1117065,개봉3동,0
1117067,오류1동,1
1117069,수궁동,2
1117070,가리봉동,2
1117071,구로2동,3
1117072,개봉1동,2
1117073,오류2동,2
1117074,항동,0
1118051,가산동,16
1118052,독산1동,16
1118053,독산2동,3
1118054,독산3동,8
1118055,독산4동,2
1118057,시흥1동,2
1118058,시흥2동,2
1118059,시흥3동,1
1118060,시흥4동,9
1118061,시흥5동,3
1119054,여의동,20
1119055,당산1동,15
1119056,당산2동,3
1119061,양평1동,0
1119062,양평2동,6
1119063,신길1동,5
1119065,신길3동,1
1119066,신길4동,2
1119067,신길5동,1
1119068,신길6동,2
1119069,신길7동,2
1119070,대림1동,4
1119071,대림2동,4
1119072,대림3동,5
1119073,영등포본동,4
1119074,영등포동,11
1119075,도림동,1
1119076,문래동,8
1120052,노량진2동,1
1120053,상도1동,1
1120054,상도2동,1
1120055,상도3동,3
1120056,상도4동,1
1120063,사당1동,2
1120065,사당3동,0
1120066,사당4동,1
1120067,사당5동,0
1120068,대방동,3
1120069,신대방1동,3
1120070,신대방2동,4
1120071,흑석동,1
1120072,노량진1동,1
1120073,사당2동,4
1121052,보라매동,3
1121054,청림동,0
1121057,행운동,3
1121058,낙성대동,2
1121061,중앙동,0
1121062,인헌동,1
1121063,남현동,2
1121064,서원동,0
1121065,신원동,4
1121066,서림동,0
1121068,신사동,5
1121069,신림동,5
1121071,난향동,0
1121072,조원동,4
1121073,대학동,1
1121078,은천동,0
1121079,성현동,0
1121080,청룡동,3
1121081,난곡동,3
1121082,삼성동,4
1121083,미성동,5
1122051,서초1동,3
1122052,서초2동,0
1122053,서초3동,1
1122054,서초4동,0
1122055,잠원동,2
1122056,반포본동,2
1122057,반포1동,2
1122058,반포2동,6
1122059,반포3동,0
1122060,반포4동,6
1122061,방배본동,4
1122062,방배1동,4
1122063,방배2동,5
1122064,방배3동,0
1122065,방배4동,0
1122066,양재1동,0
1122067,양재2동,10
1122068,내곡동,1
1123051,신사동,8
1123052,논현1동,6
1123053,논현2동,1
1123058,삼성1동,5
1123059,삼성2동,5
1123060,대치1동,3
1123063,대치4동,4
1123064,역삼1동,6
1123065,역삼2동,1
1123066,도곡1동,2
1123067,도곡2동,2
1123068,개포1동,0
1123071,개포4동,2
1123072,일원본동,2
1123073,일원1동,6
1123074,일원2동,2
1123075,수서동,2
1123076,세곡동,3
1123077,압구정동,5
1123078,청담동,4
1123079,대치2동,8
1123080,개포2동,5
1124051,풍납1동,3
1124052,풍납2동,1
1124053,거여1동,0
1124054,거여2동,1
1124055,마천1동,4
1124056,마천2동,1
1124057,방이1동,1
1124058,방이2동,2
1124059,오륜동,1
1124060,오금동,2
1124061,송파1동,3
1124062,송파2동,0
1124063,석촌동,1
1124064,삼전동,2
1124065,가락본동,3
1124066,가락1동,0
1124067,가락2동,0
1124068,문정1동,2
1124069,문정2동,0
1124071,잠실본동,2
1124075,잠실4동,2
1124077,잠실6동,6
1124078,잠실7동,2
1124079,잠실2동,3
1124080,잠실3동,4
1124081,장지동,3
1124082,위례동,0
1125051,강일동,4
1125052,상일동,1
1125053,명일1동,1
1125054,명일2동,1
1125055,고덕1동,0
1125056,고덕2동,4
1125058,암사2동,1
1125059,암사3동,0
1125061,천호1동,3
1125063,천호3동,3
1125065,성내1동,2
1125066,성내2동,3
1125067,성내3동,2
1125070,둔촌1동,0
1125071,둔촌2동,1
1125072,암사1동,6
1125073,천호2동,4
1125074,길동,1
