행정구,행정동,버스수,환승역가중치부여(환승역*2),주택세대수
강남구,개포1동,80,0,1469.5
강남구,개포2동,108,1,3277
강남구,개포4동,141,0,1469.5
강남구,논현1동,95,1,1469.5
강남구,논현2동,72,5,368
강남구,대치1동,98,0,1608
강남구,대치2동,132,1,1469.5
강남구,대치4동,62,0,1469.5
강남구,도곡1동,80,1,397
강남구,도곡2동,70,5,397
강남구,삼성1동,118,1,1469.5
강남구,삼성2동,118,5,416
강남구,세곡동,203,0,5042
강남구,수서동,85,5,1581
강남구,신사동,154,1,63
강남구,압구정동,84,0,1469.5
강남구,역삼1동,88,5,30
강남구,역삼2동,92,5,1999
강남구,일원1동,21,0,2214
강남구,일원2동,24,1,2473
강남구,일원본동,103,1,1469.5
강남구,청담동,95,1,708
강동구,강일동,152,0,7997
강동구,고덕1동,38,1,4800
강동구,고덕2동,97,1,4932
강동구,길동,85,1,2982.375
강동구,둔촌1동,14,1,2982.375
강동구,둔촌2동,55,1,2982.375
강동구,명일1동,51,1,1900
강동구,명일2동,32,0,2982.375
강동구,상일동,114,0,3046
강동구,성내1동,35,0,482
강동구,성내2동,53,1,2982.375
강동구,성내3동,19,1,2982.375
강동구,암사1동,15,0,2982.375
강동구,암사2동,10,0,2982.375
강동구,암사3동,28,0,2982.375
강동구,천호1동,14,0,2982.375
강동구,천호2동,50,5,191
강동구,천호3동,6,0,511
강북구,미아동,61,1,1480.1667
강북구,번1동,88,0,1480.1667
강북구,번2동,78,0,1480.1667
강북구,번3동,67,0,1480.1667
강북구,삼각산동,76,0,6117
강북구,삼양동,71,1,547
강북구,송중동,101,1,1643
강북구,송천동,114,0,376
강북구,수유1동,129,1,18
강북구,수유2동,56,1,180
강북구,수유3동,110,1,1480.1667
강북구,우이동,132,1,1480.1667
강북구,인수동,91,0,1480.1667
강서구,가양1동,120,5,1240
강서구,가양2동,31,1,4409
강서구,가양3동,36,0,2048
강서구,공항동,109,9,1475
강서구,등촌1동,19,1,2499.727
강서구,등촌2동,71,0,2499.727
강서구,등촌3동,121,0,54
강서구,발산1동,150,0,8111
강서구,방화1동,107,1,5491
강서구,방화2동,150,1,1140
강서구,방화3동,42,1,2813
강서구,염창동,69,1,701
강서구,우장산동,124,1,2499.727
강서구,화곡본동,113,0,2499.727
강서구,화곡1동,111,1,2499.727
강서구,화곡2동,52,0,2499.727
강서구,화곡3동,11,0,2499.727
강서구,화곡4동,37,0,2499.727
강서구,화곡6동,100,0,2499.727
강서구,화곡8동,49,5,15
관악구,낙성대동,107,0,216
관악구,난곡동,82,0,745
관악구,난향동,61,0,150
관악구,남현동,30,3,745
관악구,대학동,192,0,745
관악구,미성동,196,0,197
관악구,보라매동,57,0,745
관악구,삼성동,118,0,745
관악구,서림동,68,0,745
관악구,서원동,75,1,745
관악구,성현동,68,0,2672
관악구,신림동,85,0,745
관악구,신사동,154,0,63
관악구,신원동,12,0,592
관악구,은천동,107,1,1430
관악구,인헌동,42,1,745
관악구,조원동,39,0,745
관악구,중앙동,50,0,277
관악구,청룡동,26,1,1489
관악구,청림동,7,0,392
관악구,행운동,99,0,717
광진구,광장동,42,1,134.5
광진구,구의1동,42,0,134.5
광진구,구의2동,52,0,72
광진구,구의3동,29,1,197
광진구,군자동,59,1,160.4
광진구,능동,63,1,160.4
광진구,자양1동,22,0,264
광진구,자양2동,52,1,160.4
광진구,자양3동,49,0,160.4
광진구,자양4동,30,3,160.4
광진구,중곡1동,43,5,160.4
광진구,중곡2동,42,0,160.4
광진구,중곡3동,60,1,160.4
광진구,중곡4동,36,0,160.4
광진구,화양동,84,3,160.4
구로구,가리봉동,81,0,1626.375
구로구,개봉1동,103,1,978
구로구,개봉2동,60,0,1626.375
구로구,개봉3동,29,0,1626.375
구로구,고척1동,76,0,175
구로구,고척2동,58,0,378
구로구,구로1동,42,0,1626.375
구로구,구로2동,125,1,1626.375
구로구,구로3동,103,1,1626.375
구로구,구로4동,75,3,571
구로구,구로5동,78,1,1626.375
구로구,수궁동,183,5,999
구로구,신도림동,126,5,1626.375
구로구,오류1동,64,0,304
구로구,오류2동,131,1,6238
구로구,항동,53,0,3368
금천구,가산동,189,5,778
금천구,독산1동,205,0,1743
금천구,독산2동,29,0,778
금천구,독산3동,59,0,778
금천구,독산4동,51,0,778
금천구,시흥1동,132,1,173
금천구,시흥2동,29,0,1852
금천구,시흥3동,35,0,10
금천구,시흥4동,83,0,778
금천구,시흥5동,99,0,112
노원구,공릉1동,147,5,1438
노원구,공릉2동,160,1,705
노원구,상계10동,77,0,1308
노원구,상계1동,64,1,2207
노원구,상계2동,86,5,1308
노원구,상계3.4동,35,1,1897
노원구,상계5동,51,1,1308
노원구,상계6.7동,105,0,627
노원구,상계8동,34,1,1308
노원구,상계9동,54,0,1308
노원구,월계1동,132,7,1308
노원구,월계2동,85,1,1473
노원구,월계3동,117,3,2147
노원구,중계1동,66,0,799
노원구,중계2.3동,103,1,1308
노원구,중계4동,12,0,1308
노원구,중계본동,60,0,283
노원구,하계1동,114,0,1308
노원구,하계2동,48,1,1504
도봉구,도봉1동,149,0,398
도봉구,도봉2동,60,5,893
도봉구,방학1동,82,1,398
도봉구,방학2동,34,0,8
도봉구,방학3동,99,0,398
도봉구,쌍문1동,73,0,293
도봉구,쌍문2동,68,0,398
도봉구,쌍문3동,100,0,398
도봉구,쌍문4동,40,0,398
도봉구,창1동,24,1,398
도봉구,창2동,70,0,398
도봉구,창3동,30,0,398
도봉구,창4동,100,0,398
도봉구,창5동,43,5,398
동대문구,답십리1동,63,0,5258
동대문구,답십리2동,83,0,2363
동대문구,용신동,202,7,616
동대문구,이문1동,54,1,372
동대문구,이문2동,42,1,780
동대문구,장안1동,67,0,116
동대문구,장안2동,95,0,1376.25
동대문구,전농1동,139,7,3201
동대문구,전농2동,46,0,1135
동대문구,제기동,170,1,260
동대문구,청량리동,104,3,760
동대문구,회기동,32,0,1376.25
동대문구,휘경1동,90,7,900
동대문구,휘경2동,49,0,754
동작구,노량진1동,164,5,2310
동작구,노량진2동,101,0,471
동작구,대방동,142,1,1236.4
동작구,사당1동,67,3,30
동작구,사당2동,88,5,333
동작구,사당3동,39,0,1126
동작구,사당4동,9,1,1236.4
동작구,사당5동,65,0,1236.4
동작구,상도1동,145,1,1635
동작구,상도2동,73,1,1841
동작구,상도3동,83,0,65
동작구,상도4동,59,0,1236.4
동작구,신대방1동,28,1,1236.4
동작구,신대방2동,49,0,108
동작구,흑석동,143,1,4445
마포구,공덕동,62,3,1376
마포구,대흥동,134,1,558
마포구,도화동,50,5,793
마포구,망원1동,25,1,1393.692
마포구,망원2동,36,0,101
마포구,상암동,325,3,4700
마포구,서강동,89,1,1546
마포구,서교동,298,9,617
마포구,성산1동,91,0,1393.692
마포구,성산2동,135,1,2197
마포구,신수동,32,0,1788
마포구,아현동,78,3,1020
마포구,연남동,29,0,30
마포구,염리동,22,0,1714
마포구,용강동,46,1,1678
마포구,합정동,66,3,1393.692
서대문구,남가좌1동,74,1,4300
서대문구,남가좌2동,74,0,4155
서대문구,북가좌1동,104,0,3293
서대문구,북가좌2동,77,0,719
서대문구,북아현동,84,0,3176
서대문구,신촌동,305,1,1806.33
서대문구,연희동,249,0,396
서대문구,천연동,118,1,796
서대문구,충현동,95,5,1806.33
서대문구,홍은1동,50,0,2713
서대문구,홍은2동,192,0,48
서대문구,홍제1동,138,0,1202
서대문구,홍제2동,22,1,728
서대문구,홍제3동,100,1,150
서초구,내곡동,137,1,4352
서초구,반포1동,89,1,6122
서초구,반포2동,73,1,4056
서초구,반포3동,53,0,607
서초구,반포4동,49,7,2239.27
서초구,반포본동,32,1,2239.27
서초구,방배1동,45,1,2239.27
서초구,방배2동,114,1,825
서초구,방배3동,100,1,353
서초구,방배4동,81,0,2239.27
서초구,방배본동,55,0,2239.27
서초구,서초1동,65,5,2239.27
서초구,서초2동,201,0,1014
서초구,서초3동,147,1,2239.27
서초구,서초4동,116,0,2112
서초구,양재1동,235,5,3483
서초구,양재2동,145,1,390
서초구,잠원동,83,1,1318
성동구,금호1가동,36,0,2544
성동구,금호2.3가동,81,1,1865
성동구,금호4가동,37,1,1235
성동구,마장동,62,1,400
성동구,사근동,52,1,1617.909
성동구,성수1가1동,76,1,1617.909
성동구,성수1가2동,48,1,1617.909
성동구,성수2가1동,84,0,1617.909
성동구,성수2가3동,45,1,1617.909
성동구,송정동,28,0,241
성동구,옥수동,68,5,3437
성동구,왕십리도선동,83,0,3680
성동구,왕십리2동,28,1,1178
성동구,용답동,64,1,83
성동구,응봉동,43,1,1617.909
성동구,행당1동,74,9,1193
성동구,행당2동,72,1,1941
성북구,길음1동,110,1,1109
성북구,길음2동,63,0,3103
성북구,돈암1동,62,0,1535
성북구,돈암2동,36,0,1209
성북구,동선동,70,5,1152.533
성북구,보문동,38,5,1626
성북구,삼선동,104,0,296
성북구,석관동,123,0,1171
성북구,성북동,103,1,12
성북구,안암동,62,1,1152.533
성북구,월곡1동,68,0,746
성북구,월곡2동,67,1,487
성북구,장위1동,76,0,1152.533
성북구,장위2동,73,1,1152.533
성북구,장위3동,91,0,3268
성북구,정릉1동,47,1,635
성북구,정릉2동,111,0,403
성북구,정릉3동,66,0,1152.533
성북구,정릉4동,114,1,332
성북구,종암동,130,0,1356
송파구,가락1동,28,5,9510
송파구,가락2동,79,1,2454.777778
송파구,가락본동,113,1,2454.777778
송파구,거여1동,14,1,128
송파구,거여2동,15,0,1258
송파구,마천1동,54,1,1849
송파구,마천2동,46,0,71
송파구,문정1동,46,0,2454.777778
송파구,문정2동,57,1,2454.777778
송파구,방이1동,22,1,2454.777778
송파구,방이2동,51,1,2454.777778
송파구,삼전동,48,1,2454.777778
송파구,석촌동,96,5,2454.777778
송파구,송파1동,18,0,2454.777778
송파구,송파2동,55,0,794
송파구,오금동,108,5,1546
송파구,오륜동,46,5,2454.777778
송파구,위례동,165,5,2200
송파구,잠실2동,98,0,2454.777778
송파구,잠실3동,116,1,2454.777778
송파구,잠실4동,38,1,2454.777778
송파구,잠실6동,47,5,2454.777778
송파구,잠실7동,4,5,2454.777778
송파구,잠실본동,50,1,2454.777778
송파구,장지동,152,0,4737
송파구,풍납1동,14,0,2454.777778
송파구,풍납2동,64,1,2454.777778
양천구,목1동,146,1,248
양천구,목2동,53,1,1811.5
양천구,목3동,65,0,1811.5
양천구,목4동,68,0,1811.5
양천구,목5동,116,0,1811.5
양천구,신월1동,19,0,1811.5
양천구,신월2동,67,0,1504
양천구,신월3동,34,0,1811.5
양천구,신월4동,40,0,317
양천구,신월5동,56,0,215
양천구,신월6동,55,0,1811.5
양천구,신월7동,57,0,1811.5
양천구,신정1동,99,0,1081
양천구,신정2동,21,0,1070
양천구,신정3동,258,1,5919
양천구,신정4동,58,1,1811.5
양천구,신정6동,103,0,1811.5
양천구,신정7동,62,1,4138
영등포구,당산1동,62,5,195
영등포구,당산2동,105,5,759.636
영등포구,대림1동,71,0,247
영등포구,대림2동,36,0,759.636
영등포구,대림3동,57,3,759.636
영등포구,도림동,39,0,836
영등포구,문래동,123,1,222
영등포구,신길1동,74,3,213
영등포구,신길3동,49,0,1561
영등포구,신길4동,44,0,387
영등포구,신길5동,47,0,759.636
영등포구,신길6동,88,1,1722
영등포구,신길7동,75,1,1512
영등포구,양평1동,59,1,240
영등포구,양평2동,132,1,759.636
영등포구,여의동,284,5,759.636
영등포구,영등포동,161,3,1221
영등포구,영등포본동,34,1,759.636
용산구,남영동,135,3,560.5
용산구,보광동,28,0,560.5
용산구,서빙고동,63,1,560.5
용산구,용문동,36,0,534
용산구,용산2가동,42,0,560.5
용산구,원효로1동,74,0,867
용산구,원효로2동,47,0,363
용산구,이촌1동,48,3,560.5
용산구,이촌2동,40,0,560.5
용산구,이태원1동,37,1,560.5
용산구,이태원2동,31,1,560.5
용산구,청파동,40,3,560.5
용산구,한강로동,191,11,560.5
용산구,한남동,116,1,560.5
용산구,효창동,35,5,478
용산구,후암동,24,0,560.5
은평구,갈현1동,95,5,41
은평구,갈현2동,64,0,2070.9
은평구,구산동,92,1,203
은평구,녹번동,126,1,3487
은평구,대조동,143,5,2070.9
은평구,불광1동,52,1,670
은평구,불광2동,53,0,2070.9
은평구,수색동,148,3,464
은평구,신사1동,44,1,380
은평구,신사2동,58,1,5
은평구,역촌동,84,0,2070.9
은평구,응암1동,94,0,486
은평구,응암2동,82,0,3498
은평구,응암3동,77,0,2070.9
은평구,증산동,104,3,2070.9
은평구,진관동,292,1,11475
종로구,가회동,37,1,357.33
종로구,교남동,53,0,496
종로구,무악동,3,0,550
종로구,부암동,99,0,357.33
종로구,사직동,121,1,357.33
종로구,삼청동,23,0,357.33
종로구,숭인1동,6,3,357.33
종로구,숭인2동,56,0,357.33
종로구,이화동,85,1,357.33
종로구,종로1.2.3.4가동,413,7,357.33
종로구,종로5.6가동,102,3,26
종로구,창신1동,37,3,357.33
종로구,창신2동,22,3,357.33
종로구,창신3동,12,1,357.33
종로구,청운효자동,67,0,357.33
종로구,평창동,131,0,357.33
종로구,혜화동,92,0,357.33
중구,광희동,104,7,942.333
중구,다산동,39,3,942.333
중구,동화동,2,0,319
중구,명동,152,1,942.333
중구,소공동,189,5,942.333
중구,신당동,32,7,942.333
중구,신당5동,46,0,116
중구,약수동,16,3,2034
중구,을지로동,60,9,942.333
중구,장충동,33,1,942.333
중구,중림동,49,0,1725
중구,청구동,14,0,1124
중구,필동,39,5,942.333
중구,황학동,23,3,336
중구,회현동,191,5,942.333
중랑구,망우본동,189,5,1425
중랑구,망우3동,28,0,1425
중랑구,면목본동,97,1,1425
중랑구,면목2동,63,0,1425
중랑구,면목3.8동,102,1,1425
중랑구,면목4동,61,1,1170
중랑구,면목5동,49,0,1425
중랑구,면목7동,47,0,497
중랑구,묵1동,77,1,805
중랑구,묵2동,46,0,141
중랑구,상봉1동,83,11,1497
중랑구,상봉2동,30,0,1425
중랑구,신내1동,221,0,5414
중랑구,신내2동,129,1,1767
중랑구,중화1동,36,0,109
중랑구,중화2동,86,5,1425
