후보지,연결개수,최소거리
서대문구민체육회관골프연습장,7,2220947.4310
구로실내게이트볼장,7,2386520.5270
내곡동 46,7,2431926.0430
방학어린이공원,7,2471650.5340
신사2동마을마당,7,2634434.4460
화곡3주구1,7,2660025.9050
반포운동장체육센터,7,2676586.0860
다솜공원,7,2676699.8270
방배래미안아트힐,7,2920341.8290
마실길,7,3023682.6920
성형촌,7,3061277.3610
미래푸메,7,3285330.4430
동  덕,7,3357702.7200
동덕어린이공원,7,3527872.6100
신내공원,7,3550114.9530
새쟁이공원,7,3576397.6540
아시아,7,3829486.1280
바우뫼공원,7,4021539.3980
횃  불,7,4270596.9710
서초종합체육공원,7,4313709.6940
농구장(A구장),7,4315139.2150
상길례,7,4496661.8200
산철쭉,7,4627429.4410
종암5-2,7,4632840.5650
풍림,7,4648272.8620
방배본동주민센터,7,5087858.0710
향유(거마재정비),7,5196455.0250
용강나루소공원,7,5284754.0270
장평,7,5482500.6170
창 원,7,5612439.9600
등촌아이파크,7,5800414.2000
엄  지,7,5935962.8110
방학3동,7,6799842.0430
한울소공원,7,7020291.3010
꽃보라공원,7,7062502.3770
가락,7,7582231.2270
구산동청사앞소공원,7,9167568.9380
봉숭아,7,10322712.5700
청룡산체육관,6,395740.2093
밤골,6,803774.6279
방배배수지축구장,6,962476.5451
새동네어린이공원,6,1103820.8840
마곡수명산파크 7단지,6,1126804.9340
거북이소공원,6,1139697.9030
연천내,6,1211324.1800
저동공원,6,1227651.4650
금성윗들소공원,6,1231554.3770
상수쉼터,6,1241211.8080
웃말,6,1336007.4240
삼정배드민턴장,6,1363255.6700
갈현근린공원,6,1569126.2870
둥근달,6,1756116.6010
노량진근린공원 테니스장,6,1765205.3160
현대 초입,6,1861660.6240
녹번동마을마당,6,1925066.7380
산성미소지움 앞,6,1925821.3980
갈매기근린공원,6,2031762.1300
소라,6,2143405.4970
솔  밭,6,2213110.9890
응봉새말,6,2270279.0160
장  안,6,2534270.2280
고갯마루,6,2598605.4180
원터공원,6,2602918.8650
개웅산생활체육관,6,2693153.9150
수변공원1호,6,2777404.5340
까치산체육센터,6,2824162.7330
은곡마을공원,6,2935788.1390
꿀벌,6,3042181.5160
신정3동소공원,6,3351604.7670
안양천 족구장 D,6,3670247.5470
현대성우,6,3889864.1470
누 원,6,3936692.0170
풀잎,6,3945477.2320
정동공원,6,3954129.6500
탄천근린공원,6,4050705.5600
민들레,6,4082695.0570
내촌,6,4248446.4290
능안공원,6,4374406.9120
황학정,6,4691460.4210
돌뫼,6,5054955.5090
문정동136 어린이공원,6,5294756.6670
산장,6,5330131.4640
방죽,6,5455193.1820
구산초교앞마을마당,6,5458559.6540
성산마을마당,6,5577364.2830
방이,6,5601521.2690
네이처힐3단지,6,5731014.0050
소리,6,5878588.2770
무교1공원,6,5881384.8630
등촌주공 1단지,6,6023716.5160
부엉바위어린이공원,6,6052737.7160
새장골어린이공원,6,6347653.1720
삼일공원 청소년농구장,6,6398047.4480
주  흥,6,6711696.4230
방배근린공원,6,6772749.5330
문이,6,6785543.7640
비상공원,6,6791513.1690
금천체육공원,6,7148873.1610
장군봉근린공원,6,7532647.6550
잔  디,6,7538397.6090
양재근린공원축구장,6,8029509.3040
양지마을마당,6,8678113.2290
언남문화체육센터,6,8910301.6960
염창동아3차,5,164498.2317
한사랑2차삼성,5,214792.2556
미도공원,5,517221.6175
도레미어린이공원,5,666466.6808
서초2동주민센터,5,826831.2607
종암2동 녹지쉼터,5,961109.3540
홍제게이트볼장,5,1015924.9610
창3동 소공원,5,1125002.9590
고명공원,5,1140462.1140
물치어린이공원,5,1198806.6370
녹천역 앞 광장,5,1251660.4590
샛마을공원,5,1256556.0010
등산로,5,1316439.0730
방학3동 원당 마을마당,5,1325150.7090
광장동 실내배드민턴장,5,1680883.4760
계리공원,5,1779899.6610
역삼소나무공원,5,1908426.4220
염곡공원,5,1916658.2990
금실,5,2067360.2650
밤섬문화공원,5,2322252.3430
골목어린이공원,5,2555526.7550
신사공원,5,2555760.0640
남도,5,2669852.3550
도봉마루공원,5,2722644.2600
교  대,5,2780456.5750
산기슭공원,5,2851692.3320
광진문화예술회관수영장,5,2879858.7380
신림체육센터수영장,5,2891257.6990
신사2동 공공공지,5,2971258.0430
향나무,5,3082397.9170
들꽃,5,3094410.2820
풍납2동 체육시설,5,3130962.5760
강남스포츠문화센터골프연습장,5,3181573.7400
강신,5,3303193.7600
송파나루,5,3394319.3160
거여4(거마재정비),5,3399327.5390
거여2(거마재정비),5,3403312.1650
현대ESA,5,3417541.7350
금성윗들,5,3525796.9720
동개울,5,3631158.3480
용봉정,5,3633575.3710
대우효령,5,3923221.4140
[22]철산2교 좌측,5,3939097.9070
도봉2동,5,3956267.2800
녹번서근린공원,5,3963891.8180
달맞이,5,3969581.1850
뽕나무,5,3987062.3680
두산힐,5,4024831.2970
순화어린이공원,5,4052588.4020
예  술,5,4134648.9700
서울식물원,5,4316197.5900
가재울어린이공원,5,4338735.8960
창원어린이공원,5,4343743.9790
목련어린이공원,5,4431675.2800
문화소공원,5,4487378.9360
근린공원4호,5,4559009.7360
삿갓봉근린공원,5,4739325.9780
오금지구 근린공원,5,4878771.4200
상도근린공원,5,4928919.1600
기린,5,4929270.9980
[21]철산2교 우측,5,5074431.5790
신월야구공원,5,5304114.5220
응암9어린이공원,5,5363518.1680
광평공원,5,5646468.5290
아름공원,5,5691005.9830
반포주공2공원,5,5746701.3280
도곡목련공원,5,5869523.2430
방배배수지체육공원,5,6219370.9350
말죽거리,5,6522041.8930
개  뜰,5,6628295.2000
마곡수명산파크 1단지,5,6761551.3730
개포동공원,5,6836717.4340
등촌주공 3단지,5,7146148.0950
약청수약수터,5,7156025.7440
뚝섬승마장,5,7190768.0920
중랑천 노원교 밑,5,7214579.4260
삼풍아파트,5,7492325.7840
매봉근린공원,5,7571320.7950
꽃재,5,7656977.4760
응봉근린공원한남테니스장,5,7750152.9320
(가칭)신길14재정비촉진구역 소공원,5,8170197.7780
불광어린이공원,5,8491779.8180
현대슈퍼빌,5,8598655.6750
현석소공원,5,9564183.3880
노량진근린공원(고구동산)족구장,5,9888342.2680
벽산105동(소공원),5,11177175.0900
[25]인라인스케이트장 좌측(지압코스 내부),4,262603.3516
쌍문4동(2),4,291889.6203
광  석,4,921037.6360
넓은들,4,955399.6471
신라,4,1200593.8580
서초구민체육센터수영장,4,1242940.7280
잔디공원,4,1683745.4500
월계2동쌈지(신우빌라),4,1750032.0560
네이처힐6단지,4,1900074.3160
신천어린이교통,4,2205435.9630
우이천(우이1교~번창교),4,2338280.8930
상수소공원,4,2462642.1900
강북웰빙스포츠센터수영장,4,2477803.3770
압구정은행나무공원,4,2555468.8320
잠실어울림축구장,4,2605945.3680
방배어울림,4,2646566.9150
신원동체육시설,4,2722878.7730
인덕마을,4,2864096.1870
매봉산근린공원,4,2971763.1900
방배아크로타워,4,3198591.8130
손기정공원,4,3432199.7550
샘터공원,4,3495057.3750
장지,4,3525698.8700
안양천 C구장,4,3535414.2150
염창무학,4,3567682.9830
잠원근린공원,4,3649586.9350
상계2동마을숲마당,4,3744598.1330
방배,4,3777910.3840
예솔,4,3855293.5030
철  쭉,4,3882042.4140
홍씨마을공원,4,3895727.5790
윗샘,4,3905033.8790
암산,4,3946466.8880
실락어린이공원,4,4117048.7390
삼일,4,4128647.7500
분토골,4,4182825.0800
구현초교 앞마을마당,4,4336897.0480
방배래미안,4,4348687.4660
까치공원,4,4554238.4950
예술공원,4,4659757.9510
천사,4,4693328.5210
중랑천제방 현대A 206동 앞,4,4767124.6020
송례(위례 근린공원8호),4,4859743.9350
양재1동주민센터,4,4955781.7410
해맑은,4,5406919.9990
중랑천제방 서원A116동옆,4,5410496.6220
사평리,4,5490038.0530
대협,4,5506689.3440
천불사 옆,4,5558861.6130
사당문화회관수영장,4,5690607.9360
상계5동 간촌마을 가로공원,4,5690630.2070
종   암,4,5716572.9470
성산동 게이트볼장,4,6010686.7400
구  룡,4,6135538.3160
아크로비스타,4,6299634.3680
신도림생활체육관,4,6363088.4800
관음삼성아파트,4,6373140.9860
시루메어린이공원,4,6471591.2710
신도림어린이공원,4,7019050.0300
서린공원,4,7248062.4220
창골어린이공원,4,7288454.2200
국사봉체육관,4,7437177.6590
남일공원,4,7616314.7220
불광7구역소공원,4,7942043.8010
달님,4,7958278.5100
근린공원2호,4,8368511.1930
한  내,4,8949908.4380
홍은3소공원,4,9324068.1350
넘은들,4,9445518.3600
한화아파트,4,9523441.1470
옹기골,4,9839852.7750
효 자,4,10340964.5100
공릉동,4,10463545.0300
매봉,4,10725426.0300
마산말,4,10902885.6300
성산근린공원,4,14528552.3300
달 내,3,56206.1969
신양 동네체육시설,3,531973.3411
연  촌,3,1161266.7970
꿈자람,3,1169351.7740
향   림,3,1418058.6270
염창,3,1441971.5180
쌍문4동(1),3,1712712.2170
샛말,3,1802867.9390
오금지구 수변공원,3,1867677.3220
와룡소공원,3,1956554.6030
잠실7동 체육시설,3,2087654.9660
효봉어린이공원,3,2095073.9940
공릉2(산업대앞),3,2120325.7140
누에머리,3,2351697.1040
산장어린이공원,3,2375468.9760
[26]개명교 좌측,3,2545969.5480
상암공원,3,2687447.3000
벽  운,3,2702059.2390
개롱,3,2946817.4320
구릉공원,3,2988873.7370
정문공원,3,3024189.4170
중  평,3,3189148.0330
간  촌,3,3205516.9600
송동,3,3252850.6340
잠원체육시설,3,3279422.2690
연  지,3,3288830.6160
근린공원6호,3,3471212.8280
서  당,3,3778791.1770
소곶네,3,3906207.1100
나팔꽃,3,4148198.0170
방화11단지,3,4200300.0150
개운산,3,4215773.2000
창동시립테니스장,3,4222834.7750
국화원,3,4474027.8080
아랫샘공원,3,4474570.5320
가양,3,4535749.2040
근린공원5호,3,4637776.8670
배재공원,3,4704696.9000
주흥공원,3,4719302.7920
게  리,3,4836999.5580
불  암,3,4919921.0670
윤슬공원,3,4930220.6020
양천,3,4994660.8090
잠실6동 체육시설,3,5065224.1660
염곡,3,5070249.2280
구일역하부 인라인스케이트장,3,5081987.8620
광진구민체육센터수영장,3,5084361.1060
산정배드민턴장,3,5127074.5180
미도1차,3,5497734.0340
감로천생태공원,3,5498315.1340
염창월드메르디앙,3,5514504.7450
등촌대림e편한세상,3,5532135.4430
능골공원,3,5539614.8330
밤골어린이공원,3,6188028.2230
대동황토방,3,6343032.5110
[14]우성아파트 2차 앞(제방위),3,6617865.6100
충  숙,3,6907334.7510
개포공원,3,7235221.9180
롯데캐슬2차,3,7309676.5860
한우물,3,7441028.2180
안양천 파크골프장(좌안),3,7459962.1930
가재울,3,7555961.6630
[12]신정교사거리 하부,3,7685890.7440
햇 살,3,7732469.8980
서광등촌마을,3,7755007.7290
염창1차 더하임,3,8241241.2130
샘물공원,3,8350018.5210
큰더기어린이공원,3,8399298.6040
대조동청사옆마을마당,3,8629910.2230
유호배드민턴장,3,8678839.0430
장암지구,3,8863655.3460
관악구민종합체육센터수영장,3,8926126.8110
(가칭)신길5재정비촉진구역 소공원,3,8956405.5640
간이운동장(음식물처리장),3,8967449.2140
훼밀리,3,9017197.6330
우장산인조잔디구장,3,9056872.2160
중계근린공원,3,9416446.2910
새터공원,3,9585685.9220
오륜테니스장,3,9949883.0700
점말공원,3,10052975.1200
암사동공원,3,10090061.3600
신동문화체육센터,3,10230490.4200
삼개어린이공원,3,10345645.9600
충무아트홀스포츠센터수영장,3,10527097.4400
개명소공원,3,11289350.9000
상암근린공원,3,11369489.2800
역삼동 716-5(SK뷰) 소공원,3,11574532.8600
한강타운,3,11891188.0400
장미아파트2호,3,12059869.3700
진달래공원,3,12707468.8100
장 암,3,12821028.9600
마산말공원,3,12823473.8400
역촌동마을마당,3,12957022.8700
직녀,3,13183729.4900
능말,3,13205324.0300
대건,3,15029664.5100
삼성배드민턴장,2,402201.2425
홍연 2교 우안 하류 간이운동장,2,641645.6856
군민회관,2,667277.1681
안양천 B구장,2,750960.8063
용말공원,2,1183381.1740
오금,2,1224258.5550
채송화,2,1262465.8920
한무리,2,1327147.0150
용산청소년수련관수영장,2,1419261.6870
온조마루,2,1511600.2740
암산공원,2,1520790.5480
[16]신도림푸르지오 2차 앞,2,1565680.3970
들국화,2,1570647.9750
초  안,2,1885746.8660
길섶,2,1904200.3910
밤 골,2,1961113.7120
천상,2,2009229.9040
신사동(새절)소공원,2,2310848.2070
강서구민올림픽체육센터수영장,2,2395441.0930
고덕게이트볼장,2,2501496.8120
용  말,2,2858339.5550
신트리,2,2861772.3020
꿈나무공원,2,2864529.9730
온  곡,2,3003433.0850
역삼까치공원,2,3088569.1670
도성근린공원,2,3118471.0950
반포힐스테이트,2,3120779.3020
잠실주공5단지 근린공원,2,3473417.9230
순흥약수터,2,3484696.4590
창동 공원,2,3622286.4050
동문공원,2,3638482.6020
신기루,2,3697359.6390
이촌공원,2,3717031.8910
대치청실아파트 소공원1,2,4040402.6410
효  자,2,4048947.2490
양재천근린공원,2,4065542.0070
서초래미안,2,4093971.0580
상수나루소공원,2,4260429.7270
개포동근린공원,2,4268224.7510
망원유수지 옆 체육시설,2,4302746.8410
골마을,2,4437290.8890
서래골근린공원,2,4545742.4770
서리풀,2,4677585.6600
뻐꾸기,2,4793721.0470
녹번동근린공원,2,4835353.4020
영락,2,4876246.4200
[13]우성아파트 3창 앞(제방아래),2,4891372.4740
등촌주공 5단지,2,4895190.2100
서리풀근린공원,2,5008919.2280
반포자이,2,5015567.4430
염창현대1차,2,5061064.6280
독산근린공원,2,5301995.4200
북한산공원,2,5319968.9990
대진근린공원,2,5439442.0560
충숙근린공원,2,5472568.4860
언구비,2,5564359.6040
상암교회 옆 체육시설,2,5569394.1860
파랑새,2,5630890.5060
신반포2차앞 체련시설,2,5703546.3510
뱃 골,2,5709600.0550
사촌공원,2,5877204.1360
시민의숲테니스장,2,5937815.8600
잿말소공원,2,6006204.0610
식유촌,2,6193969.8740
숯내,2,6266850.1810
버들어린이공원,2,6302529.1330
목감천 인라인스케이트장,2,6316962.6690
소담공원,2,6794305.8190
다락원 체육공원,2,6802018.0950
길섶근린공원,2,6976777.4260
곰돌이공원,2,7004114.1150
계남,2,7052899.0110
독골근린공원,2,7154330.7910
일원소나무공원,2,7266493.0900
방배동,2,7296292.5670
구룡근린공원,2,7332284.0490
마곡실내배드민턴장,2,7405740.7520
각  심,2,7428600.4600
은하수어린이공원,2,7486986.9850
꼭지,2,7510780.9530
봉화대근린공원,2,7517180.5500
방학동 공원,2,7596862.6810
솟대어린이공원,2,7622108.8680
하늘마루,2,7693805.7230
응암3주택 재개발구역내소공원,2,7850023.0150
우이천 태영A105 밑,2,8107364.1300
홍제3교우안하류 간이운동장,2,8207094.6390
궁마을공원,2,8220584.3030
하  계,2,8297166.9730
상도,2,8344336.4960
한티근린공원,2,8354368.0100
솜다래공원,2,8451459.9370
우이천가로공원,2,8699364.6600
효성어린이공원,2,8969785.2870
마곡수명산파크 5단지,2,8998118.4520
가양5단지,2,9124785.1670
롯데캐슬클래식,2,9178612.3540
우장,2,9182278.8060
KT앞 둔치,2,9222527.4610
염창동아1차,2,9251948.1470
천보어린이공원,2,9315895.0610
도곡근린공원,2,9317843.1210
무교2공원,2,9376934.9130
서원공원,2,9498791.9560
방죽공원,2,9658775.5480
수서제2근린공원,2,9738654.2070
신동공원,2,9899083.4450
이촌한우리공원,2,10125870.0600
늘푸른근린공원,2,10596569.8000
중계,2,10698361.3000
다락원체육공원 게이트볼장,2,10708791.3100
화곡푸르지오,2,10763906.0800
거북이,2,10988719.3900
대림경동,2,11456339.9200
폭포동소공원,2,11478016.7100
밤   골,2,11596066.4000
도봉1동 마을마당,2,11847650.8200
노들나루공원 자전거연습장,2,11880553.2800
한강시민공원 잠원지구,2,11901944.1100
청  솔,2,12070394.7400
망원유수지 체육시설,2,12074754.2100
일원진달래공원,2,12531537.6500
월천근린공원,2,12675534.9900
서대문체육회관수영장,2,12869556.6100
진관근린공원,2,13480953.0200
신대부석,2,14989243.8300
양재초교앞 농구장,2,16652798.3600
목동실내빙상장,2,16693385.3300
방학3동 마을마당,2,17580316.0900
원  터,2,17720265.2200
남산 게이트볼장,2,17958610.4000
배산택지 공원(3호공원),1,210272.4127
반포3동주민센터,1,945426.1901
언남,1,988553.2892
두텁바위어린이공원,1,1284833.4010
아랫샘,1,1368790.3210
동  문,1,1397572.2380
잠  원,1,1519039.8930
한마음,1,1534493.0990
천왕근린공원,1,1708399.6910
방화 2-1단지,1,2038617.3400
네이처힐4단지,1,2205327.9090
도림,1,2274252.3630
창동마을 체육시설,1,2345810.4910
월계 롯데캐슬 옆,1,2406048.8160
늘벗공원,1,2418170.8070
반포2동주민센터,1,2430858.5230
행복한,1,2581544.0400
송  림,1,2662863.8690
남현,1,2768814.7650
샛   별,1,2913999.4090
신이,1,3006756.3910
와우근린공원,1,3095847.8110
순복음교회 뒤,1,3606037.3030
반포본동주민센터,1,3614848.8790
연가교우안 하류상단 간이운동장,1,3687116.9490
용  화,1,3804533.8260
석우마을 체육시설,1,3857740.3110
[20]I-PARK(109동) 앞,1,3945587.9370
독골공원,1,4035158.6000
만남의광장,1,4200828.1250
근린공원7호,1,4241688.9200
화곡2주구2,1,4275021.3960
송운근린공원,1,4278621.3280
상계근린공원,1,4493707.3850
신  동,1,4563106.1690
물보라,1,4957278.6080
중랑천제방 삼성A 111동 앞,1,5161305.5250
윗반고개공원,1,5164180.4330
솔,1,5190364.3500
동  산,1,5374968.3410
파랑새공원,1,5395667.5790
꽃사과,1,5491214.6440
초안산 <시공원>,1,5557364.5440
도담,1,5613050.7100
계상초 인근,1,5630243.7970
탄천,1,5759832.0790
달바위공원,1,5857699.5990
서오능,1,5886208.7030
코아공원,1,5948333.4190
도곡동 426-9(로덴하우스)소공원,1,5949788.9970
참  새,1,5979497.4240
네이처힐5단지,1,5981986.9940
상일공원,1,6026626.4700
호암1터널상부,1,6126453.2420
반석어린이공원,1,6142653.0730
신반포1차,1,6146759.1110
신반포2차,1,6183251.9620
용산청소년수련관,1,6308314.1490
명주,1,6319323.2040
대동황토방 2차,1,6465626.8370
잠실주공5단지 소공원,1,6508274.0690
안산공원,1,6631856.5590
가양2단지 성지,1,6761371.4720
양재시민의 숲,1,6815650.4050
구암,1,6836547.6430
남가좌동어린이공원,1,6855051.8330
신광명,1,6979596.9820
장미아파트1호,1,7003257.7940
창 골,1,7072355.9860
위례 근린공원3호,1,7214711.0370
버  들,1,7355248.4270
명달근린공원,1,7513901.0510
선  녀,1,7747044.5050
광장동 실내 배드민턴장,1,7829769.7300
영축산              <시공원>,1,7884691.5480
정  문,1,7921726.1730
매봉산공원,1,8035000.3730
꿈터공원,1,8119879.6880
늘벗근린공원,1,8161949.7470
갈매소공원,1,8318752.4960
농구장(C구장),1,8320590.7790
성북종합레포츠타운체육관,1,8385253.9250
쌍문4동 마을마당,1,8450444.0790
샛터공원,1,8473058.2490
유만어린이공원,1,8484383.8670
예지공원,1,8592825.7180
강나루현대,1,8649417.7780
안양천 A구장,1,8777513.4180
한강시민공원 반포지구,1,8833289.0480
천마,1,8924810.5080
푸른공원,1,8976605.7170
은평다목적체육관,1,9219590.8070
중계1동 소공원,1,9320774.0790
구름공원,1,9349005.9890
강월,1,9383010.9230
등서,1,9424734.4970
망원유수지체육시설,1,9556437.8570
푸  른,1,9746753.5270
양재천,1,9783526.3660
고무래,1,9795157.7810
오동골프연습장,1,9967568.7890
공암나루,1,10065647.1300
중랑천제방 도봉구청앞,1,10105071.9400
인라인스케이트장,1,10143600.9200
푸르매,1,10277840.1900
선우체육관,1,10308369.2200
잠실진주,1,10404573.7200
코  아,1,10510101.3700
숲속,1,10563661.2600
햇님,1,10884502.9700
도곡단비소공원,1,10943145.0300
가양레포츠센터,1,11147655.6200
이화어린이공원,1,11186033.7300
우면생태놀이터,1,11252510.1300
도하,1,11313885.0200
등촌주공 11단지,1,11403175.1100
응봉테니스장,1,11719702.1900
관악정,1,11750509.8100
남이마을어린이공원,1,11936817.0500
아  름,1,11988300.4900
서낭당,1,12050748.8800
무지개공원,1,12108575.3300
양재시민의숲 테니스장,1,12167193.9100
논현은행나무공원,1,12184938.8700
미소,1,12387658.4800
서래골,1,12495466.3700
독서,1,12566150.3200
아차산배수지체육공원 인조잔디축구장,1,12617275.4900
수서오솔길,1,12618337.9900
장수,1,12890228.1000
발바닥공원,1,12895037.3400
농구장(구일역),1,12938439.2300
염창힐스테이트,1,12959967.1800
우면,1,13077311.6300
비석골,1,13082603.5700
마곡수명판파크 2단지,1,13131538.0900
창3동 마을마당,1,13171926.9800
개포근린공원,1,13288511.9700
[04]족구장B 위쪽,1,13316337.2000
방화6단지,1,13440843.8200
수서개나리공원,1,13590621.6600
하늬공원,1,13613386.4800
하왕1-5구역,1,13871765.4000
당현천,1,14021317.9700
독산자연공원,1,14100604.2700
큰골근린공원,1,14168561.6800
옹달샘약수터,1,14260519.4600
서빙고공원,1,14318184.9600
아리수,1,14321345.8000
노원역 역사문화마당,1,14329182.5600
서초구민체육센터,1,14364786.8300
방화동성,1,14399230.2000
삿갓봉,1,14496893.5600
미리내공원,1,14674921.2200
마들근린공원테니스장,1,14856380.7500
현석동마을마당,1,14876089.2700
대치교~영동6교_남단,1,15026206.5600
동작주차,1,15057054.0800
래미안퍼스티지,1,15060640.9100
만남공원,1,15090274.6500
쌍용아파트 앞_북단,1,15111068.6300
어린이야구연습장,1,15694284.3700
계남근린공원테니스장,1,15803723.9700
세곡동 근린공원1,1,15928717.8300
천왕역소공원,1,16003825.9300
만  남,1,16021199.3200
하늘가람,1,16114767.0700
아현새싹소공원,1,16378367.7800
달  빛,1,16381718.9000
배밭근린공원,1,16386603.5400
수서택지개발(대모산부근),1,16535748.8600
등촌주공 8단지,1,16565889.5200
서일문화체육센터,1,16614293.1200
우면산 도시자연공원,1,16853233.3400
은평인공암벽장,1,16939334.6800
녹번1-2지구 주택재개발정비구역내소공원,1,16946260.9800
구로구민체육센터,1,16978540.5500
다락원체육공원 테니스장,1,17536161.3100
살곶이야구장,1,17592013.9000
가양 9-2단지,1,17612654.2600
응암1동마을마당,1,17681245.8900
두레공원,1,17932033.5900
오금풋살구장,1,18328531.4500
마곡수명산파크 3단지,1,18828827.8900
대창어린이공원,1,19731133.9900
